code,company_name,sector,rejection_reason_category,reason_source
2681,GEO HOLDINGS CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
3333,"ASAHI CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
3861,Oji Holdings Corporation,Pulp and Paper,low_pbr_only,audited
4042,TOSOH CORPORATION,Chemicals,ai_keyword_only,audited
8227,"SHIMAMURA Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
3134,Hamee Corp.,Retail Trade,already_represented_by_better_candidate,audited
4521,"KAKEN PHARMACEUTICAL CO.,LTD.",Pharmaceutical,already_represented_by_better_candidate,audited
9948,"ARCS COMPANY,LIMITED",Retail Trade,already_represented_by_better_candidate,audited
7280,MITSUBA Corporation,Electric Appliances,ai_keyword_only,audited
8088,IWATANI  CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
9842,ARCLANDS CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
2734,SALA CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,ai_keyword_only,audited
7595,ARGO GRAPHICS Inc.,Information & Communication,ai_keyword_only,audited
8281,"XEBIO holdings CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
2491,"ValueCommerce Co.,Ltd.",Services,ai_keyword_only,audited
5947,RINNAI CORPORATION,Metal Products,already_represented_by_better_candidate,audited
4828,Business Engineering Corporation,Information & Communication,ai_keyword_only,audited
8167,"RETAIL PARTNERS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
9115,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,already_represented_by_better_candidate,audited
1928,"Sekisui House,Ltd.",Construction,ai_keyword_only,audited
3104,"Fujibo Holdings,Inc.",Textiles and Apparels,already_represented_by_better_candidate,audited
8061,SEIKA CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
9989,"SUNDRUG CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
8173,Joshin Corporation,Retail Trade,score_below_cutoff,score_below_cutoff_v5
4540,TSUMURA & CO.,Pharmaceutical,already_represented_by_better_candidate,audited
2733,ARATA CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
8282,K'S HOLDINGS CORPORATION,Retail Trade,score_below_cutoff,score_below_cutoff_v5
2433,HAKUHODO DY HOLDINGS INCORPORATED,Services,ai_keyword_only,audited
7912,"Dai Nippon Printing Co.,Ltd.",Other Products,already_represented_by_better_candidate,audited
3087,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
2001,NIPPN CORPORATION,Foods,already_represented_by_better_candidate,audited
9934,"INABA DENKISANGYO CO.,LTD.",Wholesale Trade,already_represented_by_better_candidate,audited
2593,"ITO EN,LTD.",Foods,already_represented_by_better_candidate,audited
9832,"AUTOBACS SEVEN CO.,LTD.",Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
3048,BIC CAMERA INC.,Retail Trade,already_represented_by_better_candidate,audited
2792,"HONEYS HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
8011,SANYO SHOKAI LTD.,Textiles and Apparels,already_represented_by_better_candidate,audited
6302,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,ai_keyword_only,audited
6419,Mars Group Holdings Corporation,Machinery,ai_keyword_only,audited
7581,"SAIZERIYA CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
2288,"MARUDAI FOOD CO.,LTD.",Foods,already_represented_by_better_candidate,audited
6794,"Foster Electric Company,Limited",Electric Appliances,ai_keyword_only,audited
1980,"DAI-DAN CO.,LTD.",Construction,ai_keyword_only,audited
3349,COSMOS Pharmaceutical Corporation,Retail Trade,score_below_cutoff,score_below_cutoff_v5
5423,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,already_represented_by_better_candidate,audited
8214,AOKI Holdings Inc.,Retail Trade,already_represented_by_better_candidate,audited
2678,ASKUL Corporation,Retail Trade,score_below_cutoff,score_below_cutoff_v5
2659,"SAN-A CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
9202,ANA HOLDINGS INC.,Air Transportation,already_represented_by_better_candidate,audited
3941,"Rengo Co.,Ltd.",Pulp and Paper,already_represented_by_better_candidate,audited
6814,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,ai_keyword_only,audited
4651,SANIX HOLDINGS INCORPORATED,Services,ai_keyword_only,audited
2685,"and ST HD Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
6460,SEGA SAMMY HOLDINGS INC.,Machinery,ai_keyword_only,audited
6588,TOSHIBA TEC CORPORATION,Electric Appliances,ai_keyword_only,audited
4613,"KANSAI PAINT CO.,LTD.",Chemicals,ai_keyword_only,audited
4751,"CyberAgent,Inc.",Services,ai_keyword_only,audited
7911,TOPPAN Holdings Inc.,Other Products,score_below_cutoff,score_below_cutoff_v5
3148,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
3407,ASAHI KASEI CORPORATION,Chemicals,ai_keyword_only,audited
2929,"Pharma Foods International Co.,Ltd.",Foods,value_trap_risk,audited
2726,"PAL GROUP Holdings CO.,LTD",Retail Trade,already_represented_by_better_candidate,audited
2002,NISSHIN SEIFUN GROUP INC.,Foods,score_below_cutoff,score_below_cutoff_v5
7240,NOK CORPORATION,Transportation Equipment,already_represented_by_better_candidate,audited
7988,NIFCO INC.,Chemicals,ai_keyword_only,audited
2296,ITOHAM YONEKYU HOLDINGS INC.,Foods,score_below_cutoff,score_below_cutoff_v5
5019,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,score_below_cutoff,score_below_cutoff_v5
2379,dip Corporation,Services,ai_keyword_only,audited
5210,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,already_represented_by_better_candidate,audited
3002,GUNZE LIMITED,Textiles and Apparels,score_below_cutoff,score_below_cutoff_v5
6039,"Japan Animal Referral Medical Center Co.,Ltd.",Services,ai_keyword_only,audited
9699,"NISHIO HOLDINGS CO.,LTD.",Services,ai_keyword_only,audited
4043,Tokuyama Corporation,Chemicals,ai_keyword_only,audited
2269,"Meiji Holdings Co.,Ltd.",Foods,score_below_cutoff,score_below_cutoff_v5
9107,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,already_represented_by_better_candidate,audited
5331,"NORITAKE CO.,LIMITED",Glass and Ceramics Products,already_represented_by_better_candidate,audited
5440,KYOEI STEEL LTD.,Iron and Steel,already_represented_by_better_candidate,audited
3865,Hokuetsu Corporation,Pulp and Paper,already_represented_by_better_candidate,audited
9534,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,already_represented_by_better_candidate,audited
5262,Nippon Hume Corporation,Glass and Ceramics Products,already_represented_by_better_candidate,audited
7130,"YAMAE GROUP HOLDINGS CO.,LTD.",Wholesale Trade,already_represented_by_better_candidate,audited
7459,MEDIPAL HOLDINGS CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
7245,"DAIDO METAL CO.,LTD.",Transportation Equipment,already_represented_by_better_candidate,audited
6463,"TPR CO.,LTD.",Machinery,ai_keyword_only,audited
2613,"J-OIL MILLS, INC.",Foods,already_represented_by_better_candidate,audited
2670,"ABC-MART,INC.",Retail Trade,already_represented_by_better_candidate,audited
8255,Axial Retailing Inc.,Retail Trade,already_represented_by_better_candidate,audited
5408,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,already_represented_by_better_candidate,audited
7606,UNITED ARROWS LTD.,Retail Trade,already_represented_by_better_candidate,audited
6849,NIHON KOHDEN CORPORATION,Electric Appliances,ai_keyword_only,audited
9543,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,already_represented_by_better_candidate,audited
4206,"Aica Kogyo Company,Limited",Chemicals,ai_keyword_only,audited
4631,DIC Corporation,Chemicals,ai_keyword_only,audited
6995,"TOKAI RIKA CO.,LTD.",Transportation Equipment,already_represented_by_better_candidate,audited
7832,Bandai Namco Holdings Inc.,Other Products,already_represented_by_better_candidate,audited
4534,"Mochida Pharmaceutical Co.,Ltd.",Pharmaceutical,score_below_cutoff,score_below_cutoff_v5
8217,"OKUWA CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
1766,TOKEN CORPORATION,Construction,ai_keyword_only,audited
7994,OKAMURA CORPORATION,Other Products,score_below_cutoff,score_below_cutoff_v5
9603,"H.I.S.Co.,Ltd.",Services,ai_keyword_only,audited
6580,"Writeup Co.,Ltd.",Services,ai_keyword_only,audited
6418,"JAPAN CASH MACHINE CO.,LTD.",Machinery,ai_keyword_only,audited
3092,"ZOZO,Inc.",Retail Trade,already_represented_by_better_candidate,audited
9247,TRE HOLDINGS CORPORATION,Services,ai_keyword_only,audited
3479,TKP Corporation,Real Estate,already_represented_by_better_candidate,audited
9980,MRK HOLDINGS INC.,Retail Trade,already_represented_by_better_candidate,audited
9974,"Belc CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
6209,NPR-RIKEN CORPORATION,Machinery,ai_keyword_only,audited
6923,"Stanley Electric Co.,Ltd.",Electric Appliances,ai_keyword_only,audited
5929,Sanwa Holdings Corporation,Metal Products,already_represented_by_better_candidate,audited
4927,POLA ORBIS HOLDINGS INC.,Chemicals,ai_keyword_only,audited
3050,"DCM Holdings Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
4112,"Hodogaya Chemical Co.,Ltd.",Chemicals,ai_keyword_only,audited
6287,SATO CORPORATION,Machinery,ai_keyword_only,audited
7453,"RYOHIN KEIKAKU CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
2201,"Morinaga & Co.,Ltd.",Foods,score_below_cutoff,score_below_cutoff_v5
9404,"Nippon Television Holdings,Inc.",Information & Communication,ai_keyword_only,audited
7610,"TAY TWO CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
7984,"KOKUYO CO.,LTD.",Other Products,already_represented_by_better_candidate,audited
7600,"Japan Medical Dynamic Marketing,INC.",Precision Instruments,score_below_cutoff,score_below_cutoff_v5
5970,G-TEKT CORPORATION,Metal Products,already_represented_by_better_candidate,audited
7599,IDOM Inc.,Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
5851,RYOBI LIMITED,Nonferrous Metals,ai_keyword_only,audited
2206,"Ezaki Glico Co.,Ltd.",Foods,score_below_cutoff,score_below_cutoff_v5
1301,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",already_represented_by_better_candidate,audited
9409,TV Asahi Holdings Corporation,Information & Communication,ai_keyword_only,audited
9706,"Japan Airport Terminal Co.,ltd.",Real Estate,score_below_cutoff,score_below_cutoff_v5
9936,OHSHO FOOD SERVICE CORP.,Retail Trade,already_represented_by_better_candidate,audited
6395,TADANO LTD.,Machinery,ai_keyword_only,audited
8835,TAIHEIYO KOUHATSU INCORPORATED,Wholesale Trade,already_represented_by_better_candidate,audited
7550,"ZENSHO HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
6436,Amano Corporation,Machinery,ai_keyword_only,audited
8291,"NISSAN TOKYO SALES HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
4996,"KUMIAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,ai_keyword_only,audited
9990,SAC'S BAR HOLDINGS INC.,Retail Trade,already_represented_by_better_candidate,audited
4401,ADEKA CORPORATION,Chemicals,ai_keyword_only,audited
5480,"Nippon Yakin kogyo Co.,Ltd.",Iron and Steel,low_pbr_only,audited
7942,JSP Corporation,Chemicals,ai_keyword_only,audited
7981,"TAKARA STANDARD CO.,LTD.",Other Products,already_represented_by_better_candidate,audited
6809,TOA CORPORATION,Electric Appliances,ai_keyword_only,audited
6058,VECTOR INC.,Services,ai_keyword_only,audited
7864,"FUJI SEAL INTERNATIONAL,INC.",Other Products,score_below_cutoff,score_below_cutoff_v5
9861,"YOSHINOYA HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
2767,TSUBURAYA FIELDS HOLDINGS INC.,Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
2810,House Foods Group Inc.,Foods,score_below_cutoff,score_below_cutoff_v5
6474,NACHI-FUJIKOSHI CORP.,Machinery,ai_keyword_only,audited
7231,"TOPY INDUSTRIES,LIMITED",Transportation Equipment,already_represented_by_better_candidate,audited
3660,istyle Inc.,Information & Communication,ai_keyword_only,audited
4544,"H.U. Group Holdings,Inc.",Services,low_pbr_only,audited
4776,"Cybozu,Inc.",Information & Communication,ai_keyword_only,audited
2004,"Showa Sangyo Co.,Ltd.",Foods,already_represented_by_better_candidate,audited
1377,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",score_below_cutoff,score_below_cutoff_v5
4665,"DUSKIN CO.,LTD.",Services,ai_keyword_only,audited
2229,"CALBEE,Inc.",Foods,score_below_cutoff,score_below_cutoff_v5
6356,"NIPPON GEAR CO.,LTD.",Machinery,ai_keyword_only,audited
3923,"RAKUS Co.,Ltd.",Information & Communication,ai_keyword_only,audited
6810,"Maxell,Ltd.",Electric Appliances,ai_keyword_only,audited
2429,"WORLD HOLDINGS CO.,LTD.",Services,ai_keyword_only,audited
7867,"TOMY COMPANY,LTD.",Other Products,already_represented_by_better_candidate,audited
7936,ASICS Corporation,Other Products,already_represented_by_better_candidate,audited
2270,"MEGMILK SNOW BRAND Co.,Ltd.",Foods,score_below_cutoff,score_below_cutoff_v5
5703,"Nippon Light Metal Holdings Company,Ltd.",Nonferrous Metals,ai_keyword_only,audited
4208,UBE Corporation,Chemicals,ai_keyword_only,audited
3626,TIS Inc.,Information & Communication,ai_keyword_only,audited
4559,"ZERIA PHARMACEUTICAL CO.,LTD.",Pharmaceutical,score_below_cutoff,score_below_cutoff_v5
3930,"Hatena Co.,Ltd.",Information & Communication,ai_keyword_only,audited
2742,"HALOWS CO.,LTD.",Retail Trade,low_pbr_only,audited
8103,Meiwa Corporation,Wholesale Trade,already_represented_by_better_candidate,audited
1663,K&O Energy Group Inc.,Mining,score_below_cutoff,score_below_cutoff_v5
3765,"GungHo Online Entertainment,Inc.",Information & Communication,ai_keyword_only,audited
6349,KOMORI CORPORATION,Machinery,ai_keyword_only,audited
7990,"GLOBERIDE,Inc.",Other Products,already_represented_by_better_candidate,audited
4933,"I-ne CO.,LTD.",Chemicals,ai_keyword_only,audited
5817,"JMACS Japan Co.,Ltd.",Nonferrous Metals,ai_keyword_only,audited
9531,"TOKYO GAS CO.,LTD.",Electric Power and Gas,score_below_cutoff,score_below_cutoff_v5
6367,"DAIKIN INDUSTRIES,LTD.",Machinery,already_represented_by_better_candidate,audited
3046,JINS HOLDINGS Inc.,Retail Trade,already_represented_by_better_candidate,audited
7955,Cleanup Corporation,Other Products,score_below_cutoff,score_below_cutoff_v5
7532,Pan Pacific International Holdings Corporation,Retail Trade,already_represented_by_better_candidate,audited
4620,"FUJIKURA KASEI CO.,LTD.",Chemicals,ai_keyword_only,audited
8050,SEIKO GROUP CORPORATION,Precision Instruments,already_represented_by_better_candidate,audited
7545,"NISHIMATSUYA CHAIN Co.,Ltd.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
9987,"SUZUKEN CO.,LTD.",Wholesale Trade,value_trap_risk,audited
3167,TOKAI Holdings Corporation,Wholesale Trade,already_represented_by_better_candidate,audited
3101,"TOYOBO CO.,LTD.",Chemicals,ai_keyword_only,audited
7004,Kanadevia Corporation,Machinery,ai_keyword_only,audited
9962,MISUMI Group Inc.,Wholesale Trade,already_represented_by_better_candidate,audited
9830,TRUSCO NAKAYAMA CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
6850,Chino Corporation,Electric Appliances,ai_keyword_only,audited
9994,YAMAYA CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
2809,Kewpie Corporation,Foods,score_below_cutoff,score_below_cutoff_v5
4611,"Dai Nippon Toryo Company,Limited",Chemicals,ai_keyword_only,audited
8022,Mizuno Corporation,Other Products,score_below_cutoff,score_below_cutoff_v5
8086,NIPRO CORPORATION,Precision Instruments,score_below_cutoff,score_below_cutoff_v5
7279,HI-LEX CORPORATION,Transportation Equipment,already_represented_by_better_candidate,audited
3088,MatsukiyoCocokara & Co.,Retail Trade,already_represented_by_better_candidate,audited
2292,S Foods Inc.,Foods,low_pbr_only,audited
4194,"Visional,Inc.",Information & Communication,ai_keyword_only,audited
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",Real Estate,score_below_cutoff,score_below_cutoff_v5
7520,"Eco's Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
3558,"JADE GROUP,Inc.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
2782,"Seria Co.,Ltd.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
6952,"CASIO COMPUTER CO.,LTD.",Electric Appliances,ai_keyword_only,audited
5032,ANYCOLOR Inc.,Information & Communication,ai_keyword_only,audited
8142,"TOHO Co.,Ltd.",Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
8267,"AEON CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
7859,ALMEDIO INC.,Other Products,already_represented_by_better_candidate,audited
7943,NICHIHA CORPORATION,Glass and Ceramics Products,score_below_cutoff,score_below_cutoff_v5
6658,"Shirai Electronics Industrial Co.,Ltd.",Electric Appliances,ai_keyword_only,audited
4527,"ROHTO PHARMACEUTICAL CO.,LTD.",Pharmaceutical,already_represented_by_better_candidate,audited
5214,"Nippon Electric Glass Co.,Ltd.",Glass and Ceramics Products,score_below_cutoff,score_below_cutoff_v5
6250,YAMABIKO CORPORATION,Machinery,ai_keyword_only,audited
9715,transcosmos inc.,Services,ai_keyword_only,audited
7701,Shimadzu Corporation,Precision Instruments,score_below_cutoff,score_below_cutoff_v5
8803,"HEIWA REAL ESTATE CO.,LTD.",Real Estate,already_represented_by_better_candidate,audited
3864,Mitsubishi Paper Mills Limited,Pulp and Paper,already_represented_by_better_candidate,audited
4205,ZEON CORPORATION,Chemicals,ai_keyword_only,audited
5273,"MITANI SEKISAN CO.,LTD.",Glass and Ceramics Products,already_represented_by_better_candidate,audited
8203,MrMax Holdings Ltd.,Retail Trade,already_represented_by_better_candidate,audited
7956,PIGEON CORPORATION,Other Products,score_below_cutoff,score_below_cutoff_v5
7458,"DAIICHIKOSHO CO.,LTD.",Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
9413,TV TOKYO Holdings Corporation,Information & Communication,ai_keyword_only,audited
6378,"KIMURA CHEMICAL PLANTS CO.,LTD.",Machinery,ai_keyword_only,audited
7947,FP CORPORATION,Chemicals,ai_keyword_only,audited
6282,OILES CORPORATION,Machinery,ai_keyword_only,audited
1847,"ICHIKEN Co.,Ltd.",Construction,ai_keyword_only,audited
9887,"MATSUYA FOODS HOLDINGS CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
4547,"KISSEI PHARMACEUTICAL CO.,LTD.",Pharmaceutical,score_below_cutoff,score_below_cutoff_v5
2784,Alfresa Holdings Corporation,Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
6584,"Sanoh Industrial Co.,Ltd.",Transportation Equipment,score_below_cutoff,score_below_cutoff_v5
4028,"ISHIHARA SANGYO KAISHA,LTD.",Chemicals,ai_keyword_only,audited
4768,OTSUKA CORPORATION,Information & Communication,ai_keyword_only,audited
6371,TSUBAKIMOTO CHAIN CO.,Machinery,ai_keyword_only,audited
9418,"U-NEXT HOLDINGS Co.,Ltd.",Information & Communication,ai_keyword_only,audited
1332,Nissui Corporation,"Fishery, Agriculture and Forestry",score_below_cutoff,score_below_cutoff_v5
2871,NICHIREI CORPORATION,Foods,score_below_cutoff,score_below_cutoff_v5
1969,"Takasago Thermal Engineering Co.,Ltd.",Construction,ai_keyword_only,audited
8043,Starzen Company Limited,Wholesale Trade,value_trap_risk,audited
9005,TOKYU CORPORATION,Land Transportation,score_below_cutoff,score_below_cutoff_v5
7972,ITOKI CORPORATION,Other Products,score_below_cutoff,score_below_cutoff_v5
7685,"BuySell Technologies Co.,Ltd.",Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
8185,"CHIYODA CO.,LTD.",Retail Trade,score_below_cutoff,score_below_cutoff_v5
6103,OKUMA Corporation,Machinery,ai_keyword_only,audited
8897,"MIRARTH HOLDINGS,Inc.",Real Estate,already_represented_by_better_candidate,audited
8136,"Sanrio Company,Ltd.",Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
5332,TOTO LTD.,Glass and Ceramics Products,score_below_cutoff,score_below_cutoff_v5
6932,ENDO Lighting Corporation,Electric Appliances,ai_keyword_only,audited
6718,"AIPHONE CO.,LTD.",Electric Appliances,ai_keyword_only,audited
4530,"HISAMITSU PHARMACEUTICAL CO.,INC.",Pharmaceutical,score_below_cutoff,score_below_cutoff_v5
4634,"artience Co.,Ltd.",Chemicals,ai_keyword_only,audited
6432,"TAKEUCHI MFG.CO.,LTD.",Machinery,ai_keyword_only,audited
7846,PILOT CORPORATION,Other Products,score_below_cutoff,score_below_cutoff_v5
9882,YELLOW HAT LTD.,Wholesale Trade,score_below_cutoff,score_below_cutoff_v5
7745,"A&D HOLON Holdings Company,Limited",Precision Instruments,score_below_cutoff,score_below_cutoff_v5
6351,"TSURUMI MANUFACTURING CO.,LTD.",Machinery,ai_keyword_only,audited
4617,"Chugoku Marine Paints,Ltd.",Chemicals,ai_keyword_only,audited
