code_n,code,company_name,sector,transformation_score,emerging_score,dual_combined_score,bridge_score,transformation_grade,emerging_grade,role_candidate,final_role,ai_keyword_only_flag,low_pbr_only_flag,base_hard_exclusion_flag
8273,8273,"IZUMI CO.,LTD.",Retail Trade,71.28217347018604,19.249634615384615,45.26590404278532,79.29610449951142,B,C,Transformation Core,,False,False,False
5021,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,66.79440325846527,13.52853846153846,40.16147086000186,76.82783088306499,B,C,Transformation Core,,False,False,False
1909,1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,83.03998332511011,16.095692307692303,49.56783781640121,85.76289991971964,A,D,Transformation Core,,True,False,False
6454,6454,"MAX CO.,LTD.",Machinery,80.22990869746539,20.967365384615377,50.598637041040384,84.21735887451506,A,D,Transformation Core,,True,False,False
8060,8060,Canon Marketing Japan Inc.,Wholesale Trade,63.924997548296815,21.58325,42.75412377414841,75.24965774247234,C,C,Bridge / Diversifier,,False,False,False
1911,1911,"Sumitomo Forestry Co.,Ltd.",Construction,54.77538664117686,13.725211538461537,34.250299089819194,70.21737174355636,C,D,Bridge / Diversifier,,True,False,False
3028,3028,"Alpen Co.,Ltd.",Retail Trade,67.93863403046076,21.157442307692307,44.548038169076534,77.45715780766251,B,C,Transformation Core,,False,False,False
2602,2602,"The Nisshin OilliO Group,Ltd.",Foods,71.59878735165132,13.662076923076922,42.63043213736413,79.47024213431732,B,C,Transformation Core,,False,False,False
2791,2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,69.85998851950181,17.786538461538463,43.823263490520134,78.51390277663509,B,C,Transformation Core,,False,False,False
9682,9682,DTS CORPORATION,Information & Communication,65.37520047731552,19.716826923076923,42.54601370019622,76.04726935343263,B,D,Transformation Core,,True,False,False
5105,5105,Toyo Tire Corporation,Rubber Products,72.28165511735737,21.266480769230768,46.77406794329407,79.84581940545564,B,C,Transformation Core,,False,False,False
9997,9997,"BELLUNA CO.,LTD.",Retail Trade,66.15539389987558,22.023865384615384,44.08962964224549,76.47637573584066,B,C,Transformation Core,,False,False,False
5406,5406,"Kobe Steel,Ltd.",Iron and Steel,77.04753116695167,15.385942307692307,46.21673673732199,82.4670512327325,B,C,Transformation Core,,False,False,False
8276,8276,"HEIWADO CO.,LTD.",Retail Trade,70.99419479716734,19.976711538461537,45.48545316781444,79.13771622935113,B,C,Transformation Core,,False,False,False
1414,1414,"SHO-BOND Holdings Co.,Ltd.",Construction,55.70964153213559,10.211134615384612,32.9603880737601,70.73121193358367,C,D,Bridge / Diversifier,,True,False,False
3382,3382,"Seven & i Holdings Co.,Ltd.",Retail Trade,73.56177056036644,18.49046153846154,46.026116049413986,80.54988289911063,B,C,Transformation Core,,False,False,False
3863,3863,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,79.35773064042226,14.37278846153846,46.86525955098036,83.73766094314134,A,C,Transformation Core,Transformation Core,False,False,False
4204,4204,"Sekisui Chemical Co.,Ltd.",Chemicals,71.62060864528573,21.885961538461537,46.75328509187363,79.48224384581624,B,D,Transformation Core,,True,False,False
8278,8278,"FUJI CO.,LTD.",Retail Trade,76.79851399609949,21.131442307692303,48.96497815189589,82.33009178876381,B,C,Transformation Core,,False,False,False
1723,1723,"NIHON DENGI CO.,LTD.",Construction,68.34454411549301,13.813403846153845,41.07897398082343,73.58949926352116,B,D,Transformation Core,,True,False,False
2121,2121,"MIXI,Inc.",Information & Communication,70.45010411830194,22.06725,46.25867705915097,78.83846635597516,B,D,Transformation Core,,True,False,False
1662,1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,74.12423464993115,13.139673076923076,43.631953863427114,80.85923814837122,B,C,Transformation Core,,False,False,False
9956,9956,"VALOR HOLDINGS CO.,LTD.",Retail Trade,74.54011764858633,20.95757692307692,47.74884728583163,81.08797379763158,B,C,Transformation Core,,False,False,False
7516,7516,"KOHNAN SHOJI CO.,LTD.",Retail Trade,62.5646489928701,21.051442307692305,41.8080456502812,74.50146603698764,C,C,Bridge / Diversifier,,False,False,False
4922,4922,KOSE Holdings Corporation,Chemicals,57.61727639638009,24.945173076923076,41.28122473665158,71.78041110891814,C,D,Bridge / Diversifier,,True,False,False
2212,2212,"YAMAZAKI BAKING CO.,LTD.",Foods,71.14255737804369,22.318288461538454,46.730422919791074,79.21931564883312,B,C,Transformation Core,,False,False,False
3608,3608,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,19.20090695251564,22.428134615384614,20.81452078395013,52.42638312937063,C,C,Bridge / Diversifier,,False,False,False
6457,6457,GLORY LTD.,Machinery,77.56748505228306,22.82053846153846,50.19401175691076,78.66211677875569,B,D,Transformation Core,,True,False,False
3405,3405,"KURARAY CO.,LTD.",Chemicals,61.419894956934286,18.964,40.19194747846714,73.87185131722295,D,D,Bridge / Diversifier,,True,True,False
2220,2220,"KAMEDA SEIKA CO.,LTD.",Foods,75.63198802884553,16.967903846153845,46.299945937499686,81.68850250677413,B,C,Transformation Core,,False,False,False
2918,2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,62.88585516945162,15.722019230769227,39.303937200110425,70.5872203431984,C,C,Bridge / Diversifier,,False,False,False
3539,3539,"JM HOLDINGS CO.,LTD.",Retail Trade,71.77559003400464,18.56223076923077,45.1689104016177,79.56748360961164,B,C,Buffett Core,Buffett Core,False,False,False
8016,8016,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,61.402521194290685,23.586615384615385,42.494568289453035,73.86229574776897,C,C,Bridge / Diversifier,,False,False,False
9101,9101,Nippon Yusen Kabushiki Kaisha,Marine Transportation,62.708111886656525,14.973826923076922,38.840969404866726,74.58037062857018,D,C,Bridge / Diversifier,,False,True,False
6196,6196,"Strike Group Co.,Ltd.",Services,46.61706888869016,23.695903846153847,35.156486367422005,65.73029697968867,C,D,Bridge / Diversifier,,True,False,False
4118,4118,KANEKA CORPORATION,Chemicals,59.84194705655743,19.601038461538455,39.72149275904795,68.91307088110659,C,D,Bridge / Diversifier,,True,False,False
6648,6648,KAWADEN CORPORATION,Electric Appliances,64.26918194113084,16.83276923076923,40.550975585950034,75.43895915853105,C,D,Bridge / Diversifier,,True,False,False
2730,2730,EDION Corporation,Retail Trade,67.78806563152763,21.22382692307692,44.50594627730227,77.3743451882493,B,C,Transformation Core,,False,False,False
1861,1861,"Kumagai Gumi Co.,Ltd.",Construction,52.77264668664636,8.277999999999999,30.52532334332318,62.979501132200966,C,D,Bridge / Diversifier,,True,False,False
4202,4202,Daicel Corporation,Chemicals,75.02845717305615,18.720999999999997,46.87472858652808,81.35656053608997,B,D,Transformation Core,,True,False,False
5233,5233,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,79.88444958784154,16.231942307692307,48.058195947766926,84.02735636422193,A,C,Transformation Core,Transformation Core,False,False,False
6440,6440,JUKI CORPORATION,Machinery,83.58298083811802,17.83884615384615,50.71091349598208,86.061548551874,A,D,Transformation Core,,True,False,False
1961,1961,"SANKI ENGINEERING CO.,LTD.",Construction,82.22727310411018,11.129749999999998,46.67851155205509,85.31590929816969,A,D,Transformation Core,,True,False,False
6417,6417,"SANKYO CO.,LTD.",Machinery,65.8294240448427,18.838384615384612,42.333904330113654,76.29709231557257,B,D,Transformation Core,,True,False,False
7917,7917,ZACROS Corporation,Chemicals,60.94197957503182,16.12605769230769,38.53401863366976,73.60899785717659,C,D,Bridge / Diversifier,,True,False,False
5393,5393,NICHIAS CORPORATION,Glass and Ceramics Products,72.5226070977162,18.178173076923073,45.35039008731964,79.978342994653,B,C,Transformation Core,,False,False,False
7649,7649,"SUGI HOLDINGS Co.,LTD.",Retail Trade,69.71905674772218,22.091153846153844,45.90510529693801,78.4363903021563,B,C,Transformation Core,,False,False,False
7552,7552,HAPPINET CORPORATION,Wholesale Trade,67.72106443856053,13.808519230769232,40.76479183466488,73.24658544120831,B,C,Transformation Core,,False,False,False
4318,4318,"QUICK CO.,LTD.",Services,62.79653559626723,27.20684615384615,45.001690875056696,74.62900366885606,C,D,Bridge / Diversifier,,True,False,False
2664,2664,CAWACHI LIMITED,Retail Trade,64.70628350736473,17.054346153846154,40.88031483060544,75.67936501995969,C,C,Bridge / Diversifier,,False,False,False
8194,8194,LIFE CORPORATION,Retail Trade,70.452577753548,21.90755769230769,46.180067722927845,78.83982685536049,B,C,Transformation Core,,False,False,False
6369,6369,TOYO KANETSU K.K.,Machinery,70.43563253284889,13.542711538461536,41.98917203565521,78.83050698397598,B,D,Transformation Core,,True,False,False
8218,8218,"KOMERI CO.,LTD.",Retail Trade,56.4607517131311,19.37703846153846,37.91889508733478,67.05341344222211,C,C,Bridge / Diversifier,,False,False,False
9104,9104,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,59.80895851095069,14.0705,36.93972925547534,72.98583627193196,C,C,Bridge / Diversifier,,False,False,False
5410,5410,"Godo Steel,Ltd.",Iron and Steel,69.03790734402537,12.380288461538465,40.70909790278192,78.06175813012305,B,C,Transformation Core,,False,False,False
6770,6770,"ALPS ALPINE CO.,LTD.",Electric Appliances,75.39385177207153,18.099923076923076,46.7468874244973,81.55752756554844,B,D,Transformation Core,,True,False,False
2267,2267,"YAKULT HONSHA CO.,LTD.",Foods,60.43071576817669,23.325961538461534,41.87833865331911,73.32780276340627,C,C,Bridge / Diversifier,,False,False,False
6430,6430,"DAIKOKU DENKI CO.,LTD.",Machinery,73.66571323577921,18.933596153846153,46.29965469481268,80.60705137058766,B,D,Buffett Core,Buffett Core,False,False,False
6676,6676,BUFFALO INC.,Electric Appliances,81.66913248690975,17.07438461538461,49.37175855114718,85.00893195870945,A,D,Transformation Core,,True,False,False
3391,3391,TSURUHA HOLDINGS INC.,Retail Trade,58.57274782385362,20.28242307692307,39.42758545038835,72.30592039402858,C,C,Bridge / Diversifier,,False,False,False
7803,7803,Bushiroad Inc.,Other Products,76.52361329828828,17.160692307692308,46.8421528029903,82.17889640496765,B,C,Buffett Core,Buffett Core,False,False,False
4569,4569,"KYORIN Pharmaceutical Co.,Ltd.",Pharmaceutical,59.19027599043653,19.173134615384615,39.18170530291057,72.64556088564919,C,C,Bridge / Diversifier,,False,False,False
5463,5463,Maruichi Steel Tube Ltd.,Iron and Steel,61.96152561104644,12.02457692307692,36.99305126706168,74.16974817698463,C,C,Bridge / Diversifier,,False,False,False
6104,6104,"SHIBAURA MACHINE CO.,LTD.",Machinery,61.25060024558397,18.881557692307688,40.06607896894583,69.6878301350712,C,D,Bridge / Diversifier,,True,False,False
9274,9274,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,57.2704775660544,18.173192307692307,37.72183493687336,67.49876266132993,C,C,Bridge / Diversifier,,False,False,False
8242,8242,H2O RETAILING CORPORATION,Retail Trade,64.00326347948948,21.081826923076925,42.5425452012832,71.20179491371923,C,C,Bridge / Diversifier,,False,False,False
4849,4849,en Inc.,Services,66.63707563911423,29.163230769230765,47.9001532041725,76.74130069242192,B,D,Transformation Core,,True,False,False
6310,6310,"ISEKI & CO.,LTD.",Machinery,76.55595075526703,19.373807692307693,47.96487922378736,82.19668200630596,B,D,Transformation Core,,True,False,False
4633,4633,SAKATA INX CORPORATION,Chemicals,66.93167868198972,18.791230769230765,42.86145472561024,72.81242327509436,B,D,Transformation Core,,True,False,False
2681,2681,GEO HOLDINGS CORPORATION,Retail Trade,58.76228944150054,22.681923076923077,40.72210625921181,72.41016828373438,C,C,Bridge / Diversifier,,False,False,False
3333,3333,"ASAHI CO.,LTD.",Retail Trade,64.7659757465452,20.973230769230767,42.86960325788798,75.71219575150894,C,C,Bridge / Diversifier,,False,False,False
3861,3861,Oji Holdings Corporation,Pulp and Paper,59.40377334886959,15.447038461538462,37.42540590520403,72.76298443278736,D,C,Bridge / Diversifier,,False,True,False
4042,4042,TOSOH CORPORATION,Chemicals,72.70391664840191,18.027499999999996,45.36570832420095,80.07806324753014,B,D,Transformation Core,,True,False,False
8227,8227,"SHIMAMURA Co.,Ltd.",Retail Trade,63.29181176484188,20.294903846153844,41.79335780549786,74.90140556157212,C,C,Bridge / Diversifier,,False,False,False
3134,3134,Hamee Corp.,Retail Trade,54.68693840575945,18.92830769230769,36.807623049033566,70.16872521407679,C,C,Bridge / Diversifier,,False,False,False
4521,4521,"KAKEN PHARMACEUTICAL CO.,LTD.",Pharmaceutical,72.75281935988781,18.51678846153846,45.63480391071313,76.0140506479383,B,C,Transformation Core,,False,False,False
9948,9948,"ARCS COMPANY,LIMITED",Retail Trade,68.87634550724908,19.903192307692308,44.389768907470696,77.97289911989608,B,C,Transformation Core,,False,False,False
7280,7280,MITSUBA Corporation,Electric Appliances,81.53621970461005,16.033923076923074,48.78507139076656,84.93582992844462,A,D,Transformation Core,,True,False,False
8088,8088,IWATANI  CORPORATION,Wholesale Trade,61.708264761354826,18.990153846153845,40.349209303754336,74.03045470965424,C,C,Bridge / Diversifier,,False,False,False
9842,9842,ARCLANDS CORPORATION,Retail Trade,64.50997673598296,20.902692307692305,42.70633452183763,71.48048720479065,C,C,Bridge / Diversifier,,False,False,False
2734,2734,SALA CORPORATION,Retail Trade,61.03326972160693,17.315615384615384,39.17444255311115,69.56829834688382,C,C,Bridge / Diversifier,,False,False,False
1925,1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,63.0911680784056,12.412519230769233,37.75184365458742,74.79105153403216,C,D,Bridge / Diversifier,,True,False,False
7595,7595,ARGO GRAPHICS Inc.,Information & Communication,57.460328963174305,14.764519230769231,36.112424096971765,71.69409002065495,C,D,Bridge / Diversifier,,True,False,False
8281,8281,"XEBIO holdings CO.,LTD.",Retail Trade,67.88813736571248,20.36465384615385,44.12639560593316,77.42938464205096,B,C,Transformation Core,,False,False,False
2491,2491,"ValueCommerce Co.,Ltd.",Services,63.72703209837199,21.174980769230764,42.45100643380138,75.14077674501368,C,D,Bridge / Diversifier,,True,False,False
5947,5947,RINNAI CORPORATION,Metal Products,66.05155330756736,20.000115384615384,43.02583434609137,72.32835431916206,B,C,Transformation Core,,False,False,False
4828,4828,Business Engineering Corporation,Information & Communication,67.25732766088427,19.110615384615382,43.18397152274983,77.08243930439544,B,D,Transformation Core,,True,False,False
8167,8167,"RETAIL PARTNERS CO.,LTD.",Retail Trade,69.11799747308062,17.69682692307692,43.407412198078774,78.10580770110343,B,C,Transformation Core,,False,False,False
9115,9115,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,72.19204098395349,9.840096153846153,41.01606856889982,79.79653163208351,B,C,Transformation Core,,False,False,False
1928,1928,"Sekisui House,Ltd.",Construction,56.76063657093018,12.531442307692306,34.646039439311245,71.30925920492069,C,D,Bridge / Diversifier,,True,False,False
3104,3104,"Fujibo Holdings,Inc.",Textiles and Apparels,68.75256359989162,15.730346153846153,42.241454876868886,73.8139099799404,B,C,Transformation Core,,False,False,False
8061,8061,SEIKA CORPORATION,Wholesale Trade,55.877912990090586,13.408615384615382,34.64326418735298,66.73285214454984,C,C,Bridge / Diversifier,,False,False,False
9989,9989,"SUNDRUG CO.,LTD.",Retail Trade,65.14963675638762,19.84815384615385,42.498895301270736,75.92320930692227,B,C,Transformation Core,,False,False,False
8173,8173,Joshin Corporation,Retail Trade,60.58880326500815,18.910115384615384,39.74945932481177,69.3238417957545,C,C,Bridge / Diversifier,,False,False,False
4540,4540,TSUMURA & CO.,Pharmaceutical,62.95732854329863,18.79478846153846,40.876058502418545,70.62653069881426,C,C,Bridge / Diversifier,,False,False,False
2733,2733,ARATA CORPORATION,Wholesale Trade,59.87597335103695,15.123961538461538,37.499967444749245,68.93178534307033,C,C,Bridge / Diversifier,,False,False,False
8282,8282,K'S HOLDINGS CORPORATION,Retail Trade,64.84896408250205,20.580615384615385,42.71478973355872,75.75783933628522,C,C,Bridge / Diversifier,,False,False,False
2433,2433,HAKUHODO DY HOLDINGS INCORPORATED,Services,57.2917029814039,30.01075,43.65122649070195,67.51043663977215,C,D,Bridge / Diversifier,,True,False,False
8037,8037,KAMEI CORPORATION,Wholesale Trade,79.43325896719848,16.42955769230769,47.93140832975308,83.77920152286825,A,C,Transformation Core,Transformation Core,False,False,False
7912,7912,"Dai Nippon Printing Co.,Ltd.",Other Products,67.19808539765465,17.0585,42.12829269882732,77.04985605961915,B,C,Transformation Core,,False,False,False
3087,3087,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade,58.386778183479535,22.367673076923076,40.37722563020131,72.20363709182283,C,C,Bridge / Diversifier,,False,False,False
2001,2001,NIPPN CORPORATION,Foods,58.27086288079959,16.71582692307692,37.49334490193826,68.04897458443978,C,C,Bridge / Diversifier,,False,False,False
9934,9934,"INABA DENKISANGYO CO.,LTD.",Wholesale Trade,63.92420293516625,14.179653846153847,39.05192839066005,71.15831161434144,C,C,Bridge / Diversifier,,False,False,False
2593,2593,"ITO EN,LTD.",Foods,60.01583827705469,22.319249999999997,41.16754413852734,73.09962014328917,C,C,Bridge / Diversifier,,False,False,False
9832,9832,"AUTOBACS SEVEN CO.,LTD.",Wholesale Trade,44.251701812003255,20.78790384615385,32.51980282907855,60.3384359966018,C,C,Bridge / Diversifier,,False,False,False
3048,3048,BIC CAMERA INC.,Retail Trade,72.1384222718407,21.035384615384615,46.586903443612655,79.76704134042147,B,C,Transformation Core,,False,False,False
2792,2792,"HONEYS HOLDINGS CO.,LTD.",Retail Trade,59.20400153933731,23.56609615384615,41.38504884659173,72.65310993754461,C,C,Bridge / Diversifier,,False,False,False
8011,8011,SANYO SHOKAI LTD.,Textiles and Apparels,38.97950686685272,20.173826923076923,29.57666689496482,61.52963786767808,C,C,Bridge / Diversifier,,False,False,False
6302,6302,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,63.7596030605216,18.29667307692308,41.02813806872234,75.15869077419597,C,D,Bridge / Diversifier,,True,False,False
6419,6419,Mars Group Holdings Corporation,Machinery,67.46789949007825,16.51098076923077,41.98944012965451,73.10734471954305,B,D,Transformation Core,,True,False,False
7581,7581,"SAIZERIYA CO.,LTD.",Retail Trade,72.56788804674882,23.350461538461538,47.95917479260518,80.00324751662095,B,C,Transformation Core,,False,False,False
2288,2288,"MARUDAI FOOD CO.,LTD.",Foods,65.2581782282038,14.845230769230769,40.051704498717285,71.8919980255121,B,C,Transformation Core,,False,False,False
6794,6794,"Foster Electric Company,Limited",Electric Appliances,74.21123635361944,17.58223076923077,45.89673356142511,76.81617999449071,B,D,Transformation Core,,True,False,False
1980,1980,"DAI-DAN CO.,LTD.",Construction,46.65058902204393,10.589499999999996,28.62004451102197,55.521460325760536,C,D,Bridge / Diversifier,,True,False,False
3349,3349,COSMOS Pharmaceutical Corporation,Retail Trade,67.70643973793807,18.56707692307692,43.1367583305075,77.32945094677503,B,C,Transformation Core,,False,False,False
5423,5423,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,49.75904630792524,12.040942307692308,30.89999430780877,63.367475469358894,C,C,Bridge / Diversifier,,False,False,False
8214,8214,AOKI Holdings Inc.,Retail Trade,71.90045447853426,20.17707692307692,46.03876570080559,75.54524996319385,B,C,Transformation Core,,False,False,False
2678,2678,ASKUL Corporation,Retail Trade,59.66204700270792,18.95128846153846,39.30666773212319,68.81412585148937,C,C,Bridge / Diversifier,,False,False,False
2659,2659,"SAN-A CO.,LTD.",Retail Trade,55.977956556238425,17.97953846153846,36.978747508888446,66.78787610593115,C,C,Bridge / Diversifier,,False,False,False
9202,9202,ANA HOLDINGS INC.,Air Transportation,73.46646955372988,15.275173076923076,44.37082131532648,80.49746734546052,B,C,Transformation Core,,False,False,False
3941,3941,"Rengo Co.,Ltd.",Pulp and Paper,64.79118165587354,15.332115384615385,40.06164852024446,71.63514991073046,C,C,Bridge / Diversifier,,False,False,False
9470,9470,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,73.40075325538507,21.498442307692308,47.449597781538685,80.46132338137087,B,D,Buffett Core,Buffett Core,False,False,False
6814,6814,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,75.94650268162255,21.517134615384613,48.73181864850358,81.86148556580149,B,D,Transformation Core,,True,False,False
4651,4651,SANIX HOLDINGS INCORPORATED,Services,54.63829547094309,25.255999999999993,39.947147735471546,66.0510625090187,C,D,Bridge / Diversifier,,True,False,False
2685,2685,"and ST HD Co.,Ltd.",Retail Trade,65.5922462520672,24.071461538461534,44.831853895264366,76.16664452954605,B,C,Transformation Core,,False,False,False
6460,6460,SEGA SAMMY HOLDINGS INC.,Machinery,45.18100482154374,22.133403846153847,33.657204333848796,64.94046174275815,C,D,Bridge / Diversifier,,True,False,False
6588,6588,TOSHIBA TEC CORPORATION,Electric Appliances,67.50341893075125,24.134615384615387,45.81901715768332,77.21778950282228,B,D,Transformation Core,,True,False,False
4613,4613,"KANSAI PAINT CO.,LTD.",Chemicals,62.04460328978686,20.3364423076923,41.19052279873958,74.21544090029187,C,D,Bridge / Diversifier,,True,False,False
4751,4751,"CyberAgent,Inc.",Services,78.8804885201155,26.799788461538455,52.84013849082698,83.47517777697261,A,D,Transformation Core,,True,False,False
7911,7911,TOPPAN Holdings Inc.,Other Products,54.91688917140267,17.023884615384613,35.970386893393645,70.29519813518056,C,C,Bridge / Diversifier,,False,False,False
3148,3148,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade,58.71856790494241,19.814634615384616,39.26660126016351,68.29521234771833,C,C,Bridge / Diversifier,,False,False,False
3407,3407,ASAHI KASEI CORPORATION,Chemicals,70.0201864516331,20.75657692307692,45.38838168735501,78.60201163930729,B,D,Transformation Core,,True,False,False
2929,2929,"Pharma Foods International Co.,Ltd.",Foods,26.844658872180275,20.02,23.432329436090136,54.85547147060824,C,C,Bridge / Diversifier,,False,False,False
2726,2726,"PAL GROUP Holdings CO.,LTD",Retail Trade,68.35625428686281,23.203884615384613,45.78006945112371,77.68684894868363,B,C,Transformation Core,,False,False,False
2002,2002,NISSHIN SEIFUN GROUP INC.,Foods,67.34882410335196,17.51823076923077,42.43352743629136,73.04185325684358,B,C,Transformation Core,,False,False,False
7240,7240,NOK CORPORATION,Transportation Equipment,72.67378895374661,15.661807692307692,44.16779832302715,75.97058392456064,B,C,Transformation Core,,False,False,False
7988,7988,NIFCO INC.,Chemicals,70.51530300940364,20.436461538461536,45.475882273932584,74.783416655172,B,D,Transformation Core,,True,False,False
2296,2296,ITOHAM YONEKYU HOLDINGS INC.,Foods,46.16001033399365,16.72148076923077,31.44074555161221,61.38800568369652,C,C,Bridge / Diversifier,,False,False,False
5019,5019,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,65.09090112914865,14.043384615384616,39.56714287226663,75.89090471194085,B,C,Transformation Core,,False,False,False
2379,2379,dip Corporation,Services,61.62656574825872,28.85215384615384,45.23935979720627,73.98552025245138,C,D,Bridge / Diversifier,,True,False,False
5210,5210,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,74.27578007424967,12.534346153846151,43.405063114047906,80.9425881317464,B,C,Transformation Core,,False,False,False
3002,3002,GUNZE LIMITED,Textiles and Apparels,67.53111909026691,18.657403846153848,43.09426146821038,73.14211549964682,B,C,Transformation Core,,False,False,False
6039,6039,"Japan Animal Referral Medical Center Co.,Ltd.",Services,71.0405719412171,18.75636538461538,44.89846866291624,79.16322365857849,B,D,Transformation Core,,True,False,False
9699,9699,"NISHIO HOLDINGS CO.,LTD.",Services,71.8198563971163,25.870615384615384,48.84523589086584,75.50092101841398,B,D,Transformation Core,,True,False,False
4043,4043,Tokuyama Corporation,Chemicals,75.1804251615858,19.16078846153846,47.17060681156213,81.44014292978127,B,D,Transformation Core,,True,False,False
2269,2269,"Meiji Holdings Co.,Ltd.",Foods,59.88324105448254,19.948192307692302,39.915716681087424,73.02669167087448,C,C,Bridge / Diversifier,,False,False,False
9107,9107,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,57.931805966690646,13.234211538461537,35.58300875257609,71.95340237258894,C,C,Bridge / Diversifier,,False,False,False
5331,5331,"NORITAKE CO.,LIMITED",Glass and Ceramics Products,40.468971137288335,16.745173076923074,28.607072107105704,58.2579341255086,C,C,Bridge / Diversifier,,False,False,False
5440,5440,KYOEI STEEL LTD.,Iron and Steel,72.18991888672709,12.236942307692306,42.213430597209694,79.79536447860899,B,C,Transformation Core,,False,False,False
3865,3865,Hokuetsu Corporation,Pulp and Paper,77.89924795945348,14.42303846153846,46.161143210495965,82.93549546860851,B,C,Transformation Core,,False,False,False
9534,9534,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,66.502248067203,16.04198076923077,41.27211441821689,72.57623643696166,B,C,Transformation Core,,False,False,False
6526,6526,Socionext Inc.,Electric Appliances,73.10480494206931,64.14103846153847,68.62292170180389,80.29855180904721,B,B,Dual Moat,Emerging Core,False,False,False
5262,5262,Nippon Hume Corporation,Glass and Ceramics Products,52.2902914125919,9.523230769230768,30.90676109091133,68.85056936783464,C,C,Bridge / Diversifier,,False,False,False
7130,7130,"YAMAE GROUP HOLDINGS CO.,LTD.",Wholesale Trade,59.317651439635966,16.59442307692308,37.95603725827952,68.62470829179979,C,C,Bridge / Diversifier,,False,False,False
7459,7459,MEDIPAL HOLDINGS CORPORATION,Wholesale Trade,58.588273343378624,13.934846153846154,36.26155974861239,68.22355033885825,C,C,Bridge / Diversifier,,False,False,False
