code_n,code,company_name,sector,phase2_rank,phase2_confidence_score,transformation_score,emerging_score,transformation_quant_evidence_level,emerging_disclosure_level,final_evidence_level,transformation_grade,emerging_grade,role_candidate,final_role,ai_infrastructure_category,close,avg_trading_value_60d
2918,2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,45,0.8800000000000001,62.88585516945162,15.722019230769227,3,0,3,C,C,Bridge / Diversifier,,,2616.0,376477828.3333333
3539,3539,"JM HOLDINGS CO.,LTD.",Retail Trade,46,0.98,71.77559003400464,18.56223076923077,3,0,3,B,C,Buffett Core,Buffett Core,,1248.0,144716800.0
8016,8016,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,47,0.98,61.402521194290685,23.586615384615385,3,0,3,C,C,Bridge / Diversifier,,,725.0,464536056.6666667
9101,9101,Nippon Yusen Kabushiki Kaisha,Marine Transportation,48,0.98,62.708111886656525,14.973826923076922,0,0,0,D,C,Bridge / Diversifier,,,5275.0,23408384221.666668
6196,6196,"Strike Group Co.,Ltd.",Services,49,0.98,46.61706888869016,23.695903846153847,2,1,2,C,D,Bridge / Diversifier,,,1247.0,648150802.1563721
4118,4118,KANEKA CORPORATION,Chemicals,50,0.8800000000000001,59.84194705655743,19.601038461538455,2,1,2,C,D,Bridge / Diversifier,,,5553.0,1211886806.6666667
6648,6648,KAWADEN CORPORATION,Electric Appliances,51,0.98,64.26918194113084,16.83276923076923,3,1,3,C,D,Bridge / Diversifier,,,1729.0,162615866.66666666
2730,2730,EDION Corporation,Retail Trade,52,0.98,67.78806563152763,21.22382692307692,2,0,2,B,C,Transformation Core,,,2340.0,1040772180.0
1861,1861,"Kumagai Gumi Co.,Ltd.",Construction,53,0.8300000000000001,52.77264668664636,8.277999999999999,2,1,2,C,D,Bridge / Diversifier,,,1391.0,1539420790.0
4202,4202,Daicel Corporation,Chemicals,54,0.98,75.02845717305615,18.720999999999997,3,1,3,B,D,Transformation Core,,,1298.5,1938201755.0
5233,5233,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,55,0.98,79.88444958784154,16.231942307692307,3,0,3,A,C,Transformation Core,Transformation Core,,4458.0,2753052776.6666665
6440,6440,JUKI CORPORATION,Machinery,56,0.98,83.58298083811802,17.83884615384615,3,1,3,A,D,Transformation Core,,,556.0,282656406.6666667
1961,1961,"SANKI ENGINEERING CO.,LTD.",Construction,57,0.98,82.22727310411018,11.129749999999998,3,1,3,A,D,Transformation Core,,,2211.0,1726008034.3977864
6417,6417,"SANKYO CO.,LTD.",Machinery,58,0.98,65.8294240448427,18.838384615384612,3,1,3,B,D,Transformation Core,,,1597.5,2076866637.5
7917,7917,ZACROS Corporation,Chemicals,59,0.98,60.94197957503182,16.12605769230769,3,1,3,C,D,Bridge / Diversifier,,,1254.0,238887251.66666663
5393,5393,NICHIAS CORPORATION,Glass and Ceramics Products,60,0.98,72.5226070977162,18.178173076923073,3,0,3,B,C,Transformation Core,,,3521.0,2331036960.592448
7649,7649,"SUGI HOLDINGS Co.,LTD.",Retail Trade,61,0.98,69.71905674772218,22.091153846153844,2,0,2,B,C,Transformation Core,,,2759.5,2393207116.6666665
7552,7552,HAPPINET CORPORATION,Wholesale Trade,62,0.8800000000000001,67.72106443856053,13.808519230769232,3,0,3,B,C,Transformation Core,,,2797.0,648253933.3333334
4318,4318,"QUICK CO.,LTD.",Services,63,0.98,62.79653559626723,27.20684615384615,1,1,1,C,D,Bridge / Diversifier,,,729.0,132203401.66666669
2664,2664,CAWACHI LIMITED,Retail Trade,64,0.98,64.70628350736473,17.054346153846154,3,0,3,C,C,Bridge / Diversifier,,,3310.0,400199793.3333333
8194,8194,LIFE CORPORATION,Retail Trade,65,0.98,70.452577753548,21.90755769230769,2,0,2,B,C,Transformation Core,,,2422.0,477797628.3333333
6369,6369,TOYO KANETSU K.K.,Machinery,66,0.98,70.43563253284889,13.542711538461536,3,1,3,B,D,Transformation Core,,,2249.0,329005731.6666667
8218,8218,"KOMERI CO.,LTD.",Retail Trade,67,0.8800000000000001,56.4607517131311,19.37703846153846,1,0,1,C,C,Bridge / Diversifier,,,3415.0,345641491.6666667
9104,9104,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,68,0.98,59.80895851095069,14.0705,2,0,2,C,C,Bridge / Diversifier,,,5385.0,31165115151.666668
5410,5410,"Godo Steel,Ltd.",Iron and Steel,69,0.98,69.03790734402537,12.380288461538465,2,0,2,B,C,Transformation Core,,,2600.0,409730553.3333333
6770,6770,"ALPS ALPINE CO.,LTD.",Electric Appliances,70,0.98,75.39385177207153,18.099923076923076,3,1,3,B,D,Transformation Core,,,2214.0,3605413966.6666665
2267,2267,"YAKULT HONSHA CO.,LTD.",Foods,71,0.98,60.43071576817669,23.325961538461534,0,0,0,C,C,Bridge / Diversifier,,,2757.5,4761358286.666667
6430,6430,"DAIKOKU DENKI CO.,LTD.",Machinery,72,0.98,73.66571323577921,18.933596153846153,3,1,3,B,D,Buffett Core,Buffett Core,,2085.0,161995896.66666666
6676,6676,BUFFALO INC.,Electric Appliances,73,0.98,81.66913248690975,17.07438461538461,3,1,3,A,D,Transformation Core,,,2366.0,192503180.0
3391,3391,TSURUHA HOLDINGS INC.,Retail Trade,74,0.98,58.57274782385362,20.28242307692307,1,0,1,C,C,Bridge / Diversifier,,,1946.0,5370741455.0
7803,7803,Bushiroad Inc.,Other Products,75,0.98,76.52361329828828,17.160692307692308,3,0,3,B,C,Buffett Core,Buffett Core,,258.0,159848943.33333334
4569,4569,"KYORIN Pharmaceutical Co.,Ltd.",Pharmaceutical,76,0.98,59.19027599043653,19.173134615384615,3,0,3,C,C,Bridge / Diversifier,,,1214.0,238764530.0
5463,5463,Maruichi Steel Tube Ltd.,Iron and Steel,77,0.98,61.96152561104644,12.02457692307692,2,0,2,C,C,Bridge / Diversifier,,,1785.0,926629076.6666666
6104,6104,"SHIBAURA MACHINE CO.,LTD.",Machinery,78,0.8800000000000001,61.25060024558397,18.881557692307688,3,1,3,C,D,Bridge / Diversifier,,,4025.0,627628233.3333334
9274,9274,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,79,0.8800000000000001,57.2704775660544,18.173192307692307,2,0,2,C,C,Bridge / Diversifier,,,972.0,270670861.6666667
8242,8242,H2O RETAILING CORPORATION,Retail Trade,80,0.8800000000000001,64.00326347948948,21.081826923076925,3,0,3,C,C,Bridge / Diversifier,,,2480.0,945686011.6666666
4849,4849,en Inc.,Services,81,0.98,66.63707563911423,29.163230769230765,3,1,3,B,D,Transformation Core,,,1271.0,236035853.33333337
6310,6310,"ISEKI & CO.,LTD.",Machinery,82,0.98,76.55595075526703,19.373807692307693,3,1,3,B,D,Transformation Core,,,1782.0,292670353.3333333
4633,4633,SAKATA INX CORPORATION,Chemicals,83,0.8800000000000001,66.93167868198972,18.791230769230765,3,1,3,B,D,Transformation Core,,,2323.0,551415293.3333334
2681,2681,GEO HOLDINGS CORPORATION,Retail Trade,84,0.98,58.76228944150054,22.681923076923077,2,0,2,C,C,Bridge / Diversifier,,,2040.0,374649705.0
3333,3333,"ASAHI CO.,LTD.",Retail Trade,85,0.98,64.7659757465452,20.973230769230767,1,0,1,C,C,Bridge / Diversifier,,,1243.0,224447166.66666663
3861,3861,Oji Holdings Corporation,Pulp and Paper,86,0.98,59.40377334886959,15.447038461538462,0,0,0,D,C,Bridge / Diversifier,,,770.2000122070312,3960281667.903646
4042,4042,TOSOH CORPORATION,Chemicals,87,0.98,72.70391664840191,18.027499999999996,3,1,3,B,D,Transformation Core,,,2645.0,3747044575.8333335
8227,8227,"SHIMAMURA Co.,Ltd.",Retail Trade,88,0.98,63.29181176484188,20.294903846153844,3,0,3,C,C,Bridge / Diversifier,,,3199.0,2906437450.0
3134,3134,Hamee Corp.,Retail Trade,89,0.98,54.68693840575945,18.92830769230769,2,0,2,C,C,Bridge / Diversifier,,,393.0,90865578.33333331
4521,4521,"KAKEN PHARMACEUTICAL CO.,LTD.",Pharmaceutical,90,0.8800000000000001,72.75281935988781,18.51678846153846,3,0,3,B,C,Transformation Core,,,3895.0,515517875.0
9948,9948,"ARCS COMPANY,LIMITED",Retail Trade,91,0.98,68.87634550724908,19.903192307692308,1,0,1,B,C,Transformation Core,,,3225.0,274269908.3333333
7280,7280,MITSUBA Corporation,Electric Appliances,92,0.98,81.53621970461005,16.033923076923074,3,1,3,A,D,Transformation Core,,,1256.0,401115181.6666667
8088,8088,IWATANI  CORPORATION,Wholesale Trade,93,0.98,61.708264761354826,18.990153846153845,2,0,2,C,C,Bridge / Diversifier,,,1958.5,2687886657.5
9842,9842,ARCLANDS CORPORATION,Retail Trade,94,0.8800000000000001,64.50997673598296,20.902692307692305,2,0,2,C,C,Bridge / Diversifier,,,1859.0,359585696.6666667
2734,2734,SALA CORPORATION,Retail Trade,95,0.8800000000000001,61.03326972160693,17.315615384615384,2,0,2,C,C,Bridge / Diversifier,,,970.0,360192615.0
1925,1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,96,0.98,63.0911680784056,12.412519230769233,2,1,2,C,D,Bridge / Diversifier,,,4215.0,9620377458.333334
7595,7595,ARGO GRAPHICS Inc.,Information & Communication,97,0.98,57.460328963174305,14.764519230769231,3,1,3,C,D,Bridge / Diversifier,,,1270.0,319902865.0
8281,8281,"XEBIO holdings CO.,LTD.",Retail Trade,98,0.98,67.88813736571248,20.36465384615385,2,0,2,B,C,Transformation Core,,,1034.0,152692603.33333334
2491,2491,"ValueCommerce Co.,Ltd.",Services,99,0.98,63.72703209837199,21.174980769230764,1,1,1,C,D,Bridge / Diversifier,,,479.0,170931293.33333334
5947,5947,RINNAI CORPORATION,Metal Products,100,0.8800000000000001,66.05155330756736,20.000115384615384,3,0,3,B,C,Transformation Core,,,3350.0,1455609815.0
4828,4828,Business Engineering Corporation,Information & Communication,101,0.98,67.25732766088427,19.110615384615382,3,1,3,B,D,Transformation Core,,,1047.0,208574455.0
8167,8167,"RETAIL PARTNERS CO.,LTD.",Retail Trade,102,0.98,69.11799747308062,17.69682692307692,2,0,2,B,C,Transformation Core,,,1260.0,116230200.0
9115,9115,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,103,0.98,72.19204098395349,9.840096153846153,3,0,3,B,C,Transformation Core,,,1047.0,694251050.0
1928,1928,"Sekisui House,Ltd.",Construction,104,0.98,56.76063657093018,12.531442307692306,1,1,1,C,D,Bridge / Diversifier,,,3280.0,8520466928.333333
3104,3104,"Fujibo Holdings,Inc.",Textiles and Apparels,105,0.8800000000000001,68.75256359989162,15.730346153846153,3,0,3,B,C,Transformation Core,,,4065.0,1066016735.740153
8061,8061,SEIKA CORPORATION,Wholesale Trade,106,0.8800000000000001,55.877912990090586,13.408615384615382,2,0,2,C,C,Bridge / Diversifier,,,3180.0,724336140.0
9989,9989,"SUNDRUG CO.,LTD.",Retail Trade,107,0.98,65.14963675638762,19.84815384615385,2,0,2,B,C,Transformation Core,,,3600.0,1789926436.6666667
8173,8173,Joshin Corporation,Retail Trade,108,0.8800000000000001,60.58880326500815,18.910115384615384,1,0,1,C,C,Bridge / Diversifier,,,3060.0,359923850.0
4540,4540,TSUMURA & CO.,Pharmaceutical,109,0.8800000000000001,62.95732854329863,18.79478846153846,3,0,3,C,C,Bridge / Diversifier,,,3735.0,1211252031.6666667
2733,2733,ARATA CORPORATION,Wholesale Trade,110,0.8800000000000001,59.87597335103695,15.123961538461538,3,0,3,C,C,Bridge / Diversifier,,,2503.0,256909288.33333337
8282,8282,K'S HOLDINGS CORPORATION,Retail Trade,111,0.98,64.84896408250205,20.580615384615385,1,0,1,C,C,Bridge / Diversifier,,,2027.5,1411873930.0
2433,2433,HAKUHODO DY HOLDINGS INCORPORATED,Services,112,0.8800000000000001,57.2917029814039,30.01075,2,1,2,C,D,Bridge / Diversifier,,,1130.5,1050303739.1666666
8037,8037,KAMEI CORPORATION,Wholesale Trade,113,0.98,79.43325896719848,16.42955769230769,3,0,3,A,C,Transformation Core,Transformation Core,,3460.0,185679500.0
7912,7912,"Dai Nippon Printing Co.,Ltd.",Other Products,114,0.98,67.19808539765465,17.0585,3,0,3,B,C,Transformation Core,,,2746.5,5125957500.833333
3087,3087,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade,115,0.98,58.386778183479535,22.367673076923076,3,0,3,C,C,Bridge / Diversifier,,,2609.0,371988901.6666667
2001,2001,NIPPN CORPORATION,Foods,116,0.8800000000000001,58.27086288079959,16.71582692307692,3,0,3,C,C,Bridge / Diversifier,,,2583.0,587806231.6666666
9934,9934,"INABA DENKISANGYO CO.,LTD.",Wholesale Trade,117,0.8800000000000001,63.92420293516625,14.179653846153847,3,0,3,C,C,Bridge / Diversifier,,,2707.0,532289361.6666667
2593,2593,"ITO EN,LTD.",Foods,118,0.98,60.01583827705469,22.319249999999997,3,0,3,C,C,Bridge / Diversifier,,,3010.0,1507178258.3333333
9832,9832,"AUTOBACS SEVEN CO.,LTD.",Wholesale Trade,119,0.8800000000000001,44.251701812003255,20.78790384615385,2,0,2,C,C,Bridge / Diversifier,,,1456.0,455908010.0
3048,3048,BIC CAMERA INC.,Retail Trade,120,0.98,72.1384222718407,21.035384615384615,3,0,3,B,C,Transformation Core,,,1752.0,891480108.3333334
2792,2792,"HONEYS HOLDINGS CO.,LTD.",Retail Trade,121,0.98,59.20400153933731,23.56609615384615,1,0,1,C,C,Bridge / Diversifier,,,1351.0,156530006.66666666
8011,8011,SANYO SHOKAI LTD.,Textiles and Apparels,122,0.98,38.97950686685272,20.173826923076923,2,0,2,C,C,Bridge / Diversifier,,,3700.0,234527183.33333337
6302,6302,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,123,0.98,63.7596030605216,18.29667307692308,2,1,2,C,D,Bridge / Diversifier,,,5161.0,4214246596.6666665
6419,6419,Mars Group Holdings Corporation,Machinery,124,0.8800000000000001,67.46789949007825,16.51098076923077,3,1,3,B,D,Transformation Core,,,2978.0,281123513.3333333
7581,7581,"SAIZERIYA CO.,LTD.",Retail Trade,125,0.98,72.56788804674882,23.350461538461538,3,0,3,B,C,Transformation Core,,,5290.0,2746001683.3333335
2288,2288,"MARUDAI FOOD CO.,LTD.",Foods,126,0.8800000000000001,65.2581782282038,14.845230769230769,3,0,3,B,C,Transformation Core,,,2197.0,313430735.0
6794,6794,"Foster Electric Company,Limited",Electric Appliances,127,0.8800000000000001,74.21123635361944,17.58223076923077,3,1,3,B,D,Transformation Core,,,2748.0,557762190.0
1980,1980,"DAI-DAN CO.,LTD.",Construction,128,0.7300000000000001,46.65058902204393,10.589499999999996,2,1,2,C,D,Bridge / Diversifier,,,2450.0,1721383641.6666667
3349,3349,COSMOS Pharmaceutical Corporation,Retail Trade,129,0.98,67.70643973793807,18.56707692307692,3,0,3,B,C,Transformation Core,,,5829.0,2960785696.6666665
5423,5423,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,130,0.8800000000000001,49.75904630792524,12.040942307692308,2,0,2,C,C,Bridge / Diversifier,,,1705.0,964738555.0
8214,8214,AOKI Holdings Inc.,Retail Trade,131,0.8800000000000001,71.90045447853426,20.17707692307692,3,0,3,B,C,Transformation Core,,,1605.0,389855761.6666667
2678,2678,ASKUL Corporation,Retail Trade,132,0.8800000000000001,59.66204700270792,18.95128846153846,2,0,2,C,C,Bridge / Diversifier,,,1207.0,586196151.6666666
2659,2659,"SAN-A CO.,LTD.",Retail Trade,133,0.8800000000000001,55.977956556238425,17.97953846153846,0,0,0,C,C,Bridge / Diversifier,,,3105.0,695597795.0
9202,9202,ANA HOLDINGS INC.,Air Transportation,134,0.98,73.46646955372988,15.275173076923076,3,0,3,B,C,Transformation Core,,,2915.5,9395589111.666666
3941,3941,"Rengo Co.,Ltd.",Pulp and Paper,135,0.8800000000000001,64.79118165587354,15.332115384615385,3,0,3,C,C,Bridge / Diversifier,,,1413.0,1438263301.6666667
9470,9470,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,136,0.98,73.40075325538507,21.498442307692308,3,1,3,B,D,Buffett Core,Buffett Core,,941.0,121937936.66666669
6814,6814,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,137,0.98,75.94650268162255,21.517134615384613,3,1,3,B,D,Transformation Core,,,6100.0,2906114066.6666665
4651,4651,SANIX HOLDINGS INCORPORATED,Services,138,0.8800000000000001,54.63829547094309,25.255999999999993,2,1,2,C,D,Bridge / Diversifier,,,240.0,307577845.0
2685,2685,"and ST HD Co.,Ltd.",Retail Trade,139,0.98,65.5922462520672,24.071461538461534,2,0,2,B,C,Transformation Core,,,3230.0,655337998.3333334
6460,6460,SEGA SAMMY HOLDINGS INC.,Machinery,140,0.98,45.18100482154374,22.133403846153847,2,1,2,C,D,Bridge / Diversifier,,,2397.0,2637196344.1666665
6588,6588,TOSHIBA TEC CORPORATION,Electric Appliances,141,0.98,67.50341893075125,24.134615384615387,3,1,3,B,D,Transformation Core,,,3190.0,352472765.0
4613,4613,"KANSAI PAINT CO.,LTD.",Chemicals,142,0.98,62.04460328978686,20.3364423076923,3,1,3,C,D,Bridge / Diversifier,,,2419.0,3023000225.8333335
4751,4751,"CyberAgent,Inc.",Services,143,0.98,78.8804885201155,26.799788461538455,3,1,3,A,D,Transformation Core,,,1354.0,5048035577.5
7911,7911,TOPPAN Holdings Inc.,Other Products,144,0.98,54.91688917140267,17.023884615384613,3,0,3,C,C,Bridge / Diversifier,,,4592.0,8475929190.0
3148,3148,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade,145,0.8800000000000001,58.71856790494241,19.814634615384616,1,0,1,C,C,Bridge / Diversifier,,,3220.0,644299083.3333334
3407,3407,ASAHI KASEI CORPORATION,Chemicals,146,0.98,70.0201864516331,20.75657692307692,3,1,3,B,D,Transformation Core,,,1768.0,9208645430.0
2929,2929,"Pharma Foods International Co.,Ltd.",Foods,147,0.98,26.844658872180275,20.02,2,0,2,C,C,Bridge / Diversifier,,,644.0,187330905.0
2726,2726,"PAL GROUP Holdings CO.,LTD",Retail Trade,148,0.98,68.35625428686281,23.203884615384613,3,0,3,B,C,Transformation Core,,,1357.0,1488770916.6666667
2002,2002,NISSHIN SEIFUN GROUP INC.,Foods,149,0.8800000000000001,67.34882410335196,17.51823076923077,3,0,3,B,C,Transformation Core,,,1917.0,1916750076.6666667
7240,7240,NOK CORPORATION,Transportation Equipment,150,0.8800000000000001,72.67378895374661,15.661807692307692,3,0,3,B,C,Transformation Core,,,2861.5,993844125.8333334
7988,7988,NIFCO INC.,Chemicals,151,0.8800000000000001,70.51530300940364,20.436461538461536,3,1,3,B,D,Transformation Core,,,4300.0,1597828465.0
2296,2296,ITOHAM YONEKYU HOLDINGS INC.,Foods,152,0.8800000000000001,46.16001033399365,16.72148076923077,2,0,2,C,C,Bridge / Diversifier,,,4785.0,1231731283.3333333
5019,5019,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,153,0.98,65.09090112914865,14.043384615384616,1,0,1,B,C,Transformation Core,,,1357.0,7145332335.0
2379,2379,dip Corporation,Services,154,0.98,61.62656574825872,28.85215384615384,1,1,1,C,D,Bridge / Diversifier,,,1760.0,831188383.3333334
5210,5210,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,155,0.98,74.27578007424967,12.534346153846151,3,0,3,B,C,Transformation Core,,,2580.0,408525683.3333333
3002,3002,GUNZE LIMITED,Textiles and Apparels,156,0.8800000000000001,67.53111909026691,18.657403846153848,3,0,3,B,C,Transformation Core,,,3715.0,1160320833.3333333
6039,6039,"Japan Animal Referral Medical Center Co.,Ltd.",Services,157,0.98,71.0405719412171,18.75636538461538,2,1,2,B,D,Transformation Core,,,936.0,185675618.33333337
9699,9699,"NISHIO HOLDINGS CO.,LTD.",Services,158,0.8800000000000001,71.8198563971163,25.870615384615384,3,1,3,B,D,Transformation Core,,,3730.0,172423258.33333334
4043,4043,Tokuyama Corporation,Chemicals,159,0.98,75.1804251615858,19.16078846153846,3,1,3,B,D,Transformation Core,,,5200.0,3580177205.0
