code,ticker,company_name,sector,transformation_quant_evidence_level,transformation_reform_disclosure_level,transformation_shareholder_return_evidence_level,emerging_disclosure_level,final_evidence_level,emerging_evidence_source,emerging_evidence_snippet,curated_evidence_flag,systematic_screening_flag
8060,8060.T,Canon Marketing Japan Inc.,Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
1911,1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
3028,3028.T,"Alpen Co.,Ltd.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
2602,2602.T,"The Nisshin OilliO Group,Ltd.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
2791,2791.T,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
9682,9682.T,DTS CORPORATION,Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
5105,5105.T,Toyo Tire Corporation,Rubber Products,2,1,1,0,2,,no verified company disclosure,False,False
9997,9997.T,"BELLUNA CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
5406,5406.T,"Kobe Steel,Ltd.",Iron and Steel,3,1,1,0,3,,no verified company disclosure,False,False
8276,8276.T,"HEIWADO CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
3382,3382.T,"Seven & i Holdings Co.,Ltd.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
3863,3863.T,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,3,1,1,0,3,,no verified company disclosure,False,False
4204,4204.T,"Sekisui Chemical Co.,Ltd.",Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
8278,8278.T,"FUJI CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
1723,1723.T,"NIHON DENGI CO.,LTD.",Construction,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
2121,2121.T,"MIXI,Inc.",Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,2,1,1,0,2,,no verified company disclosure,False,False
9956,9956.T,"VALOR HOLDINGS CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
7516,7516.T,"KOHNAN SHOJI CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
4922,4922.T,KOSE Holdings Corporation,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2212,2212.T,"YAMAZAKI BAKING CO.,LTD.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
3608,3608.T,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,2,1,0,0,2,,no verified company disclosure,False,False
6457,6457.T,GLORY LTD.,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
3405,3405.T,"KURARAY CO.,LTD.",Chemicals,0,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2220,2220.T,"KAMEDA SEIKA CO.,LTD.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
2918,2918.T,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
3539,3539.T,"JM HOLDINGS CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
8016,8016.T,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,3,1,1,0,3,,no verified company disclosure,False,False
9101,9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0,1,1,0,0,,no verified company disclosure,False,False
6196,6196.T,"Strike Group Co.,Ltd.",Services,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
4118,4118.T,KANEKA CORPORATION,Chemicals,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
6648,6648.T,KAWADEN CORPORATION,Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
2730,2730.T,EDION Corporation,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
1861,1861.T,"Kumagai Gumi Co.,Ltd.",Construction,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
4202,4202.T,Daicel Corporation,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
5233,5233.T,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,3,1,1,0,3,,no verified company disclosure,False,False
6440,6440.T,JUKI CORPORATION,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
1961,1961.T,"SANKI ENGINEERING CO.,LTD.",Construction,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
6417,6417.T,"SANKYO CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
7917,7917.T,ZACROS Corporation,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
5393,5393.T,NICHIAS CORPORATION,Glass and Ceramics Products,3,1,1,0,3,,no verified company disclosure,False,False
7649,7649.T,"SUGI HOLDINGS Co.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
7552,7552.T,HAPPINET CORPORATION,Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
4318,4318.T,"QUICK CO.,LTD.",Services,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
2664,2664.T,CAWACHI LIMITED,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
8194,8194.T,LIFE CORPORATION,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
6369,6369.T,TOYO KANETSU K.K.,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
8218,8218.T,"KOMERI CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
9104,9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,2,1,1,0,2,,no verified company disclosure,False,False
5410,5410.T,"Godo Steel,Ltd.",Iron and Steel,2,1,1,0,2,,no verified company disclosure,False,False
6770,6770.T,"ALPS ALPINE CO.,LTD.",Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
2267,2267.T,"YAKULT HONSHA CO.,LTD.",Foods,0,1,1,0,0,,no verified company disclosure,False,False
6430,6430.T,"DAIKOKU DENKI CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
6676,6676.T,BUFFALO INC.,Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
3391,3391.T,TSURUHA HOLDINGS INC.,Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
7803,7803.T,Bushiroad Inc.,Other Products,3,1,1,0,3,,no verified company disclosure,False,False
4569,4569.T,"KYORIN Pharmaceutical Co.,Ltd.",Pharmaceutical,3,1,1,0,3,,no verified company disclosure,False,False
5463,5463.T,Maruichi Steel Tube Ltd.,Iron and Steel,2,1,1,0,2,,no verified company disclosure,False,False
6104,6104.T,"SHIBAURA MACHINE CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
9274,9274.T,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
8242,8242.T,H2O RETAILING CORPORATION,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
4849,4849.T,en Inc.,Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
6310,6310.T,"ISEKI & CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
4633,4633.T,SAKATA INX CORPORATION,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2681,2681.T,GEO HOLDINGS CORPORATION,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
3333,3333.T,"ASAHI CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
3861,3861.T,Oji Holdings Corporation,Pulp and Paper,0,1,1,0,0,,no verified company disclosure,False,False
4042,4042.T,TOSOH CORPORATION,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
8227,8227.T,"SHIMAMURA Co.,Ltd.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
3134,3134.T,Hamee Corp.,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
4521,4521.T,"KAKEN PHARMACEUTICAL CO.,LTD.",Pharmaceutical,3,1,1,0,3,,no verified company disclosure,False,False
9948,9948.T,"ARCS COMPANY,LIMITED",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
7280,7280.T,MITSUBA Corporation,Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
8088,8088.T,IWATANI  CORPORATION,Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
9842,9842.T,ARCLANDS CORPORATION,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
2734,2734.T,SALA CORPORATION,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
1925,1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
7595,7595.T,ARGO GRAPHICS Inc.,Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
8281,8281.T,"XEBIO holdings CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
2491,2491.T,"ValueCommerce Co.,Ltd.",Services,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
5947,5947.T,RINNAI CORPORATION,Metal Products,3,1,1,0,3,,no verified company disclosure,False,False
4828,4828.T,Business Engineering Corporation,Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
8167,8167.T,"RETAIL PARTNERS CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
9115,9115.T,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,3,1,1,0,3,,no verified company disclosure,False,False
1928,1928.T,"Sekisui House,Ltd.",Construction,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
3104,3104.T,"Fujibo Holdings,Inc.",Textiles and Apparels,3,1,1,0,3,,no verified company disclosure,False,False
8061,8061.T,SEIKA CORPORATION,Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
9989,9989.T,"SUNDRUG CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
8173,8173.T,Joshin Corporation,Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
4540,4540.T,TSUMURA & CO.,Pharmaceutical,3,1,1,0,3,,no verified company disclosure,False,False
2733,2733.T,ARATA CORPORATION,Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
8282,8282.T,K'S HOLDINGS CORPORATION,Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
2433,2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Services,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
8037,8037.T,KAMEI CORPORATION,Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
7912,7912.T,"Dai Nippon Printing Co.,Ltd.",Other Products,3,1,1,0,3,,no verified company disclosure,False,False
3087,3087.T,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2001,2001.T,NIPPN CORPORATION,Foods,3,1,1,0,3,,no verified company disclosure,False,False
9934,9934.T,"INABA DENKISANGYO CO.,LTD.",Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
2593,2593.T,"ITO EN,LTD.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
9832,9832.T,"AUTOBACS SEVEN CO.,LTD.",Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
3048,3048.T,BIC CAMERA INC.,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2792,2792.T,"HONEYS HOLDINGS CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
8011,8011.T,SANYO SHOKAI LTD.,Textiles and Apparels,2,1,1,0,2,,no verified company disclosure,False,False
6302,6302.T,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
6419,6419.T,Mars Group Holdings Corporation,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
7581,7581.T,"SAIZERIYA CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2288,2288.T,"MARUDAI FOOD CO.,LTD.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
6794,6794.T,"Foster Electric Company,Limited",Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
1980,1980.T,"DAI-DAN CO.,LTD.",Construction,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
3349,3349.T,COSMOS Pharmaceutical Corporation,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
5423,5423.T,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,2,1,1,0,2,,no verified company disclosure,False,False
8214,8214.T,AOKI Holdings Inc.,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2678,2678.T,ASKUL Corporation,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
2659,2659.T,"SAN-A CO.,LTD.",Retail Trade,0,1,1,0,0,,no verified company disclosure,False,False
9202,9202.T,ANA HOLDINGS INC.,Air Transportation,3,1,1,0,3,,no verified company disclosure,False,False
3941,3941.T,"Rengo Co.,Ltd.",Pulp and Paper,3,1,1,0,3,,no verified company disclosure,False,False
9470,9470.T,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
6814,6814.T,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
4651,4651.T,SANIX HOLDINGS INCORPORATED,Services,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
2685,2685.T,"and ST HD Co.,Ltd.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
6460,6460.T,SEGA SAMMY HOLDINGS INC.,Machinery,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
6588,6588.T,TOSHIBA TEC CORPORATION,Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
4613,4613.T,"KANSAI PAINT CO.,LTD.",Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
4751,4751.T,"CyberAgent,Inc.",Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
7911,7911.T,TOPPAN Holdings Inc.,Other Products,3,1,1,0,3,,no verified company disclosure,False,False
3148,3148.T,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
3407,3407.T,ASAHI KASEI CORPORATION,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2929,2929.T,"Pharma Foods International Co.,Ltd.",Foods,2,1,0,0,2,,no verified company disclosure,False,False
2726,2726.T,"PAL GROUP Holdings CO.,LTD",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2002,2002.T,NISSHIN SEIFUN GROUP INC.,Foods,3,1,1,0,3,,no verified company disclosure,False,False
7240,7240.T,NOK CORPORATION,Transportation Equipment,3,1,1,0,3,,no verified company disclosure,False,False
7988,7988.T,NIFCO INC.,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2296,2296.T,ITOHAM YONEKYU HOLDINGS INC.,Foods,2,1,1,0,2,,no verified company disclosure,False,False
5019,5019.T,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,1,1,1,0,1,,no verified company disclosure,False,False
2379,2379.T,dip Corporation,Services,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
5210,5210.T,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,3,1,1,0,3,,no verified company disclosure,False,False
3002,3002.T,GUNZE LIMITED,Textiles and Apparels,3,1,1,0,3,,no verified company disclosure,False,False
6039,6039.T,"Japan Animal Referral Medical Center Co.,Ltd.",Services,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
9699,9699.T,"NISHIO HOLDINGS CO.,LTD.",Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
4043,4043.T,Tokuyama Corporation,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
2269,2269.T,"Meiji Holdings Co.,Ltd.",Foods,2,1,1,0,2,,no verified company disclosure,False,False
9107,9107.T,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,2,1,1,0,2,,no verified company disclosure,False,False
5331,5331.T,"NORITAKE CO.,LIMITED",Glass and Ceramics Products,3,1,1,0,3,,no verified company disclosure,False,False
5440,5440.T,KYOEI STEEL LTD.,Iron and Steel,2,1,1,0,2,,no verified company disclosure,False,False
3865,3865.T,Hokuetsu Corporation,Pulp and Paper,3,1,1,0,3,,no verified company disclosure,False,False
9534,9534.T,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,2,1,1,0,2,,no verified company disclosure,False,False
6526,6526.T,Socionext Inc.,Electric Appliances,3,1,1,2,3,https://www.socionext.com/en/products/customsoc/,"Custom SoCs are explicitly positioned for data center/networking, automotive, smart-device and industrial applications.",True,True
5262,5262.T,Nippon Hume Corporation,Glass and Ceramics Products,3,1,1,0,3,,no verified company disclosure,False,False
7130,7130.T,"YAMAE GROUP HOLDINGS CO.,LTD.",Wholesale Trade,2,1,1,0,2,,no verified company disclosure,False,False
7459,7459.T,MEDIPAL HOLDINGS CORPORATION,Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
7245,7245.T,"DAIDO METAL CO.,LTD.",Transportation Equipment,3,1,1,0,3,,no verified company disclosure,False,False
6463,6463.T,"TPR CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
2613,2613.T,"J-OIL MILLS, INC.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
2670,2670.T,"ABC-MART,INC.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
8255,8255.T,Axial Retailing Inc.,Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
5408,5408.T,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,1,1,1,0,1,,no verified company disclosure,False,False
7606,7606.T,UNITED ARROWS LTD.,Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
6849,6849.T,NIHON KOHDEN CORPORATION,Electric Appliances,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
9543,9543.T,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,1,1,1,0,1,,no verified company disclosure,False,False
4206,4206.T,"Aica Kogyo Company,Limited",Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
4631,4631.T,DIC Corporation,Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
6995,6995.T,"TOKAI RIKA CO.,LTD.",Transportation Equipment,3,1,1,0,3,,no verified company disclosure,False,False
7832,7832.T,Bandai Namco Holdings Inc.,Other Products,3,1,1,0,3,,no verified company disclosure,False,False
4534,4534.T,"Mochida Pharmaceutical Co.,Ltd.",Pharmaceutical,2,1,1,0,2,,no verified company disclosure,False,False
8217,8217.T,"OKUWA CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
1766,1766.T,TOKEN CORPORATION,Construction,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,False,True
7994,7994.T,OKAMURA CORPORATION,Other Products,3,1,1,0,3,,no verified company disclosure,False,False
9603,9603.T,"H.I.S.Co.,Ltd.",Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
6580,6580.T,"Writeup Co.,Ltd.",Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
6418,6418.T,"JAPAN CASH MACHINE CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
3092,3092.T,"ZOZO,Inc.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
9247,9247.T,TRE HOLDINGS CORPORATION,Services,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,False,True
3479,3479.T,TKP Corporation,Real Estate,2,1,1,0,2,,no verified company disclosure,False,False
9980,9980.T,MRK HOLDINGS INC.,Retail Trade,0,1,1,0,0,,no verified company disclosure,False,False
9974,9974.T,"Belc CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
6209,6209.T,NPR-RIKEN CORPORATION,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
6923,6923.T,"Stanley Electric Co.,Ltd.",Electric Appliances,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
5929,5929.T,Sanwa Holdings Corporation,Metal Products,3,1,1,0,3,,no verified company disclosure,False,False
4927,4927.T,POLA ORBIS HOLDINGS INC.,Chemicals,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
3050,3050.T,"DCM Holdings Co.,Ltd.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
4112,4112.T,"Hodogaya Chemical Co.,Ltd.",Chemicals,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
6287,6287.T,SATO CORPORATION,Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
7453,7453.T,"RYOHIN KEIKAKU CO.,LTD.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
2201,2201.T,"Morinaga & Co.,Ltd.",Foods,3,1,1,0,3,,no verified company disclosure,False,False
9404,9404.T,"Nippon Television Holdings,Inc.",Information & Communication,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
7610,7610.T,"TAY TWO CO.,LTD.",Retail Trade,2,1,1,0,2,,no verified company disclosure,False,False
7984,7984.T,"KOKUYO CO.,LTD.",Other Products,3,1,1,0,3,,no verified company disclosure,False,False
7600,7600.T,"Japan Medical Dynamic Marketing,INC.",Precision Instruments,1,1,1,0,1,,no verified company disclosure,False,False
5970,5970.T,G-TEKT CORPORATION,Metal Products,3,1,1,0,3,,no verified company disclosure,False,False
7599,7599.T,IDOM Inc.,Wholesale Trade,1,1,1,0,1,,no verified company disclosure,False,False
