code,curated_evidence_flag,systematic_screening_flag,emerging_disclosure_level,emerging_evidence_source,emerging_evidence_snippet,emerging_evidence_category,emerging_keyword_hits,emerging_quantitative_evidence_flag,emerging_product_customer_evidence_flag,emerging_keyword_only_flag,theme_hype_penalty_reason
2121,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
1662,False,False,0,,no verified company disclosure,,{},False,False,False,none
9956,False,False,0,,no verified company disclosure,,{},False,False,False,none
7516,False,False,0,,no verified company disclosure,,{},False,False,False,none
4922,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2212,False,False,0,,no verified company disclosure,,{},False,False,False,none
3608,False,False,0,,no verified company disclosure,,{},False,False,False,none
6457,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
3405,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2220,False,False,0,,no verified company disclosure,,{},False,False,False,none
2918,False,False,0,,no verified company disclosure,,{},False,False,False,none
3539,False,False,0,,no verified company disclosure,,{},False,False,False,none
8016,False,False,0,,no verified company disclosure,,{},False,False,False,none
9101,False,False,0,,no verified company disclosure,,{},False,False,False,none
6196,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
4118,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
6648,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
2730,False,False,0,,no verified company disclosure,,{},False,False,False,none
1861,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
4202,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
5233,False,False,0,,no verified company disclosure,,{},False,False,False,none
6440,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
1961,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
6417,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
7917,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
5393,False,False,0,,no verified company disclosure,,{},False,False,False,none
7649,False,False,0,,no verified company disclosure,,{},False,False,False,none
7552,False,False,0,,no verified company disclosure,,{},False,False,False,none
4318,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
2664,False,False,0,,no verified company disclosure,,{},False,False,False,none
8194,False,False,0,,no verified company disclosure,,{},False,False,False,none
6369,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
8218,False,False,0,,no verified company disclosure,,{},False,False,False,none
9104,False,False,0,,no verified company disclosure,,{},False,False,False,none
5410,False,False,0,,no verified company disclosure,,{},False,False,False,none
6770,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
2267,False,False,0,,no verified company disclosure,,{},False,False,False,none
6430,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
6676,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
3391,False,False,0,,no verified company disclosure,,{},False,False,False,none
7803,False,False,0,,no verified company disclosure,,{},False,False,False,none
4569,False,False,0,,no verified company disclosure,,{},False,False,False,none
5463,False,False,0,,no verified company disclosure,,{},False,False,False,none
6104,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
9274,False,False,0,,no verified company disclosure,,{},False,False,False,none
8242,False,False,0,,no verified company disclosure,,{},False,False,False,none
4849,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
6310,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
4633,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2681,False,False,0,,no verified company disclosure,,{},False,False,False,none
3333,False,False,0,,no verified company disclosure,,{},False,False,False,none
3861,False,False,0,,no verified company disclosure,,{},False,False,False,none
4042,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
8227,False,False,0,,no verified company disclosure,,{},False,False,False,none
3134,False,False,0,,no verified company disclosure,,{},False,False,False,none
4521,False,False,0,,no verified company disclosure,,{},False,False,False,none
9948,False,False,0,,no verified company disclosure,,{},False,False,False,none
7280,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
8088,False,False,0,,no verified company disclosure,,{},False,False,False,none
9842,False,False,0,,no verified company disclosure,,{},False,False,False,none
2734,False,False,0,,no verified company disclosure,,{},False,False,False,none
1925,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
7595,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
8281,False,False,0,,no verified company disclosure,,{},False,False,False,none
2491,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
5947,False,False,0,,no verified company disclosure,,{},False,False,False,none
4828,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
8167,False,False,0,,no verified company disclosure,,{},False,False,False,none
9115,False,False,0,,no verified company disclosure,,{},False,False,False,none
1928,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
3104,False,False,0,,no verified company disclosure,,{},False,False,False,none
8061,False,False,0,,no verified company disclosure,,{},False,False,False,none
9989,False,False,0,,no verified company disclosure,,{},False,False,False,none
8173,False,False,0,,no verified company disclosure,,{},False,False,False,none
4540,False,False,0,,no verified company disclosure,,{},False,False,False,none
2733,False,False,0,,no verified company disclosure,,{},False,False,False,none
8282,False,False,0,,no verified company disclosure,,{},False,False,False,none
2433,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
8037,False,False,0,,no verified company disclosure,,{},False,False,False,none
7912,False,False,0,,no verified company disclosure,,{},False,False,False,none
3087,False,False,0,,no verified company disclosure,,{},False,False,False,none
2001,False,False,0,,no verified company disclosure,,{},False,False,False,none
9934,False,False,0,,no verified company disclosure,,{},False,False,False,none
2593,False,False,0,,no verified company disclosure,,{},False,False,False,none
9832,False,False,0,,no verified company disclosure,,{},False,False,False,none
3048,False,False,0,,no verified company disclosure,,{},False,False,False,none
2792,False,False,0,,no verified company disclosure,,{},False,False,False,none
8011,False,False,0,,no verified company disclosure,,{},False,False,False,none
6302,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
6419,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
7581,False,False,0,,no verified company disclosure,,{},False,False,False,none
2288,False,False,0,,no verified company disclosure,,{},False,False,False,none
6794,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
1980,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
3349,False,False,0,,no verified company disclosure,,{},False,False,False,none
5423,False,False,0,,no verified company disclosure,,{},False,False,False,none
8214,False,False,0,,no verified company disclosure,,{},False,False,False,none
2678,False,False,0,,no verified company disclosure,,{},False,False,False,none
2659,False,False,0,,no verified company disclosure,,{},False,False,False,none
9202,False,False,0,,no verified company disclosure,,{},False,False,False,none
3941,False,False,0,,no verified company disclosure,,{},False,False,False,none
9470,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
6814,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
4651,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
2685,False,False,0,,no verified company disclosure,,{},False,False,False,none
6460,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
6588,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
4613,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
4751,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
7911,False,False,0,,no verified company disclosure,,{},False,False,False,none
3148,False,False,0,,no verified company disclosure,,{},False,False,False,none
3407,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2929,False,False,0,,no verified company disclosure,,{},False,False,False,none
2726,False,False,0,,no verified company disclosure,,{},False,False,False,none
2002,False,False,0,,no verified company disclosure,,{},False,False,False,none
7240,False,False,0,,no verified company disclosure,,{},False,False,False,none
7988,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2296,False,False,0,,no verified company disclosure,,{},False,False,False,none
5019,False,False,0,,no verified company disclosure,,{},False,False,False,none
2379,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
5210,False,False,0,,no verified company disclosure,,{},False,False,False,none
3002,False,False,0,,no verified company disclosure,,{},False,False,False,none
6039,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
9699,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
4043,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
2269,False,False,0,,no verified company disclosure,,{},False,False,False,none
9107,False,False,0,,no verified company disclosure,,{},False,False,False,none
5331,False,False,0,,no verified company disclosure,,{},False,False,False,none
5440,False,False,0,,no verified company disclosure,,{},False,False,False,none
3865,False,False,0,,no verified company disclosure,,{},False,False,False,none
9534,False,False,0,,no verified company disclosure,,{},False,False,False,none
6526,True,True,2,https://www.socionext.com/en/products/customsoc/,"Custom SoCs are explicitly positioned for data center/networking, automotive, smart-device and industrial applications.",semiconductor,"{""semiconductor"": [""semiconductor""], ""data_center"": [""data center""], ""cybersecurity"": [""soc""]}",False,True,False,none
5262,False,False,0,,no verified company disclosure,,{},False,False,False,none
7130,False,False,0,,no verified company disclosure,,{},False,False,False,none
7459,False,False,0,,no verified company disclosure,,{},False,False,False,none
7245,False,False,0,,no verified company disclosure,,{},False,False,False,none
6463,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
2613,False,False,0,,no verified company disclosure,,{},False,False,False,none
2670,False,False,0,,no verified company disclosure,,{},False,False,False,none
8255,False,False,0,,no verified company disclosure,,{},False,False,False,none
5408,False,False,0,,no verified company disclosure,,{},False,False,False,none
7606,False,False,0,,no verified company disclosure,,{},False,False,False,none
6849,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
9543,False,False,0,,no verified company disclosure,,{},False,False,False,none
4206,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
4631,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
6995,False,False,0,,no verified company disclosure,,{},False,False,False,none
7832,False,False,0,,no verified company disclosure,,{},False,False,False,none
4534,False,False,0,,no verified company disclosure,,{},False,False,False,none
8217,False,False,0,,no verified company disclosure,,{},False,False,False,none
1766,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
7994,False,False,0,,no verified company disclosure,,{},False,False,False,none
9603,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
6580,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
6418,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
3092,False,False,0,,no verified company disclosure,,{},False,False,False,none
9247,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
3479,False,False,0,,no verified company disclosure,,{},False,False,False,none
9980,False,False,0,,no verified company disclosure,,{},False,False,False,none
9974,False,False,0,,no verified company disclosure,,{},False,False,False,none
6209,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
6923,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
5929,False,False,0,,no verified company disclosure,,{},False,False,False,none
4927,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
3050,False,False,0,,no verified company disclosure,,{},False,False,False,none
4112,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
6287,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
7453,False,False,0,,no verified company disclosure,,{},False,False,False,none
2201,False,False,0,,no verified company disclosure,,{},False,False,False,none
9404,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
7610,False,False,0,,no verified company disclosure,,{},False,False,False,none
7984,False,False,0,,no verified company disclosure,,{},False,False,False,none
7600,False,False,0,,no verified company disclosure,,{},False,False,False,none
5970,False,False,0,,no verified company disclosure,,{},False,False,False,none
7599,False,False,0,,no verified company disclosure,,{},False,False,False,none
5851,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: optical_communication,optical_communication,"{""optical_communication"": [""cable"", ""optical""]}",False,False,True,keyword-only systematic hit
2206,False,False,0,,no verified company disclosure,,{},False,False,False,none
3697,True,True,3,https://service.shiftinc.jp/service_cat/softwaretest/,"SHIFT discloses end-to-end software quality assurance and more than 3,000 customer companies as of April 2024.",quality_assurance,"{""quality_assurance"": [""quality assurance""]}",True,True,False,none
1301,False,False,0,,no verified company disclosure,,{},False,False,False,none
9409,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
9706,False,False,0,,no verified company disclosure,,{},False,False,False,none
9936,False,False,0,,no verified company disclosure,,{},False,False,False,none
6395,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
8835,False,False,0,,no verified company disclosure,,{},False,False,False,none
7550,False,False,0,,no verified company disclosure,,{},False,False,False,none
6436,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
8291,False,False,0,,no verified company disclosure,,{},False,False,False,none
4996,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
9990,False,False,0,,no verified company disclosure,,{},False,False,False,none
4401,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
5480,False,False,0,,no verified company disclosure,,{},False,False,False,none
7942,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
7981,False,False,0,,no verified company disclosure,,{},False,False,False,none
6809,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
6058,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
7864,False,False,0,,no verified company disclosure,,{},False,False,False,none
9861,False,False,0,,no verified company disclosure,,{},False,False,False,none
2767,False,False,0,,no verified company disclosure,,{},False,False,False,none
2810,False,False,0,,no verified company disclosure,,{},False,False,False,none
6474,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
7231,False,False,0,,no verified company disclosure,,{},False,False,False,none
3660,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
4544,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
4776,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
2004,False,False,0,,no verified company disclosure,,{},False,False,False,none
1377,False,False,0,,no verified company disclosure,,{},False,False,False,none
4665,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
2229,False,False,0,,no verified company disclosure,,{},False,False,False,none
6356,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
3923,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
6810,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
2429,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: quality_assurance,quality_assurance,"{""quality_assurance"": [""service""]}",False,False,True,keyword-only systematic hit
7867,False,False,0,,no verified company disclosure,,{},False,False,False,none
7936,False,False,0,,no verified company disclosure,,{},False,False,False,none
2270,False,False,0,,no verified company disclosure,,{},False,False,False,none
5703,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: optical_communication,optical_communication,"{""optical_communication"": [""cable"", ""optical""]}",False,False,True,keyword-only systematic hit
4208,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
3626,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
4559,False,False,0,,no verified company disclosure,,{},False,False,False,none
3930,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
2742,False,False,0,,no verified company disclosure,,{},False,False,False,none
8103,False,False,0,,no verified company disclosure,,{},False,False,False,none
1663,False,False,0,,no verified company disclosure,,{},False,False,False,none
