code,ticker,company_name,sector,transformation_evidence_level,transformation_evidence_basis,emerging_evidence_level,evidence_level,evidence_level_label,evidence_snippet,evidence_source
3333,3333.T,"ASAHI CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
3861,3861.T,Oji Holdings Corporation,Pulp and Paper,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
4042,4042.T,TOSOH CORPORATION,Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8227,8227.T,"SHIMAMURA Co.,Ltd.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3134,3134.T,Hamee Corp.,Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4521,4521.T,"KAKEN PHARMACEUTICAL CO.,LTD.",Pharmaceutical,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9948,9948.T,"ARCS COMPANY,LIMITED",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
7280,7280.T,MITSUBA Corporation,Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8088,8088.T,IWATANI  CORPORATION,Wholesale Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
9842,9842.T,ARCLANDS CORPORATION,Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
2734,2734.T,SALA CORPORATION,Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1925,1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
7595,7595.T,ARGO GRAPHICS Inc.,Information & Communication,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8281,8281.T,"XEBIO holdings CO.,LTD.",Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
2491,2491.T,"ValueCommerce Co.,Ltd.",Services,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
5947,5947.T,RINNAI CORPORATION,Metal Products,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4828,4828.T,Business Engineering Corporation,Information & Communication,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8167,8167.T,"RETAIL PARTNERS CO.,LTD.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9115,9115.T,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1928,1928.T,"Sekisui House,Ltd.",Construction,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
3104,3104.T,"Fujibo Holdings,Inc.",Textiles and Apparels,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8061,8061.T,SEIKA CORPORATION,Wholesale Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9989,9989.T,"SUNDRUG CO.,LTD.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8173,8173.T,Joshin Corporation,Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
4540,4540.T,TSUMURA & CO.,Pharmaceutical,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2733,2733.T,ARATA CORPORATION,Wholesale Trade,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8282,8282.T,K'S HOLDINGS CORPORATION,Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
2433,2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Services,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
8037,8037.T,KAMEI CORPORATION,Wholesale Trade,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7912,7912.T,"Dai Nippon Printing Co.,Ltd.",Other Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3087,3087.T,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2001,2001.T,NIPPN CORPORATION,Foods,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9934,9934.T,"INABA DENKISANGYO CO.,LTD.",Wholesale Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2593,2593.T,"ITO EN,LTD.",Foods,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9832,9832.T,"AUTOBACS SEVEN CO.,LTD.",Wholesale Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
3048,3048.T,BIC CAMERA INC.,Retail Trade,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2792,2792.T,"HONEYS HOLDINGS CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
8011,8011.T,SANYO SHOKAI LTD.,Textiles and Apparels,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6302,6302.T,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6419,6419.T,Mars Group Holdings Corporation,Machinery,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7581,7581.T,"SAIZERIYA CO.,LTD.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2288,2288.T,"MARUDAI FOOD CO.,LTD.",Foods,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6794,6794.T,"Foster Electric Company,Limited",Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1980,1980.T,"DAI-DAN CO.,LTD.",Construction,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3349,3349.T,COSMOS Pharmaceutical Corporation,Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5423,5423.T,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
8214,8214.T,AOKI Holdings Inc.,Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2678,2678.T,ASKUL Corporation,Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2659,2659.T,"SAN-A CO.,LTD.",Retail Trade,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
9202,9202.T,ANA HOLDINGS INC.,Air Transportation,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3941,3941.T,"Rengo Co.,Ltd.",Pulp and Paper,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9470,9470.T,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6814,6814.T,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4651,4651.T,SANIX HOLDINGS INCORPORATED,Services,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2685,2685.T,"and ST HD Co.,Ltd.",Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6460,6460.T,SEGA SAMMY HOLDINGS INC.,Machinery,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6588,6588.T,TOSHIBA TEC CORPORATION,Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4613,4613.T,"KANSAI PAINT CO.,LTD.",Chemicals,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4751,4751.T,"CyberAgent,Inc.",Services,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7911,7911.T,TOPPAN Holdings Inc.,Other Products,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3148,3148.T,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
3407,3407.T,ASAHI KASEI CORPORATION,Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2929,2929.T,"Pharma Foods International Co.,Ltd.",Foods,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
2726,2726.T,"PAL GROUP Holdings CO.,LTD",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2002,2002.T,NISSHIN SEIFUN GROUP INC.,Foods,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7240,7240.T,NOK CORPORATION,Transportation Equipment,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7988,7988.T,NIFCO INC.,Chemicals,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2296,2296.T,ITOHAM YONEKYU HOLDINGS INC.,Foods,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
5019,5019.T,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
2379,2379.T,dip Corporation,Services,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
5210,5210.T,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3002,3002.T,GUNZE LIMITED,Textiles and Apparels,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6039,6039.T,"Japan Animal Referral Medical Center Co.,Ltd.",Services,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9699,9699.T,"NISHIO HOLDINGS CO.,LTD.",Services,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4043,4043.T,Tokuyama Corporation,Chemicals,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2269,2269.T,"Meiji Holdings Co.,Ltd.",Foods,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9107,9107.T,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5331,5331.T,"NORITAKE CO.,LIMITED",Glass and Ceramics Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5440,5440.T,KYOEI STEEL LTD.,Iron and Steel,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
3865,3865.T,Hokuetsu Corporation,Pulp and Paper,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9534,9534.T,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6526,6526.T,Socionext Inc.,Electric Appliances,3,5 positive three-year financial improvement indicators,2,3,Level 3,"Custom SoCs are explicitly positioned for data center/networking, automotive, smart-device and industrial applications.",https://www.socionext.com/en/products/customsoc/
5262,5262.T,Nippon Hume Corporation,Glass and Ceramics Products,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7130,7130.T,"YAMAE GROUP HOLDINGS CO.,LTD.",Wholesale Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
7459,7459.T,MEDIPAL HOLDINGS CORPORATION,Wholesale Trade,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7245,7245.T,"DAIDO METAL CO.,LTD.",Transportation Equipment,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6463,6463.T,"TPR CO.,LTD.",Machinery,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2613,2613.T,"J-OIL MILLS, INC.",Foods,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2670,2670.T,"ABC-MART,INC.",Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
8255,8255.T,Axial Retailing Inc.,Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5408,5408.T,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
7606,7606.T,UNITED ARROWS LTD.,Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6849,6849.T,NIHON KOHDEN CORPORATION,Electric Appliances,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
9543,9543.T,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
4206,4206.T,"Aica Kogyo Company,Limited",Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4631,4631.T,DIC Corporation,Chemicals,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6995,6995.T,"TOKAI RIKA CO.,LTD.",Transportation Equipment,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7832,7832.T,Bandai Namco Holdings Inc.,Other Products,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4534,4534.T,"Mochida Pharmaceutical Co.,Ltd.",Pharmaceutical,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
8217,8217.T,"OKUWA CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
1766,1766.T,TOKEN CORPORATION,Construction,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7994,7994.T,OKAMURA CORPORATION,Other Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9603,9603.T,"H.I.S.Co.,Ltd.",Services,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6580,6580.T,"Writeup Co.,Ltd.",Services,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6418,6418.T,"JAPAN CASH MACHINE CO.,LTD.",Machinery,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3092,3092.T,"ZOZO,Inc.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
9247,9247.T,TRE HOLDINGS CORPORATION,Services,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3479,3479.T,TKP Corporation,Real Estate,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9980,9980.T,MRK HOLDINGS INC.,Retail Trade,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
9974,9974.T,"Belc CO.,LTD.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6209,6209.T,NPR-RIKEN CORPORATION,Machinery,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6923,6923.T,"Stanley Electric Co.,Ltd.",Electric Appliances,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5929,5929.T,Sanwa Holdings Corporation,Metal Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4927,4927.T,POLA ORBIS HOLDINGS INC.,Chemicals,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
3050,3050.T,"DCM Holdings Co.,Ltd.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4112,4112.T,"Hodogaya Chemical Co.,Ltd.",Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6287,6287.T,SATO CORPORATION,Machinery,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
